Bonds,,Date,XS0630397213,XS0271020850,XS0430082932,XS0376701206,XS0940293763,XS0458257796,XS0502286908,XS0521158500
XS0630397213,,10/12/2011,100.94,103.52,108.63,108.71,NA,102.48,97.36,99.46
XS0271020850,,10/13/2011,101.12,103.66,108.92,108.86,NA,103.09,97.98,100.03
XS0430082932,,10/14/2011,101.11,103.61,108.67,108.8,NA,102.22,97.18,99.79
XS0376701206,,10/17/2011,101.39,103.77,109.2,108.99,NA,103.39,98.32,100.12
XS0940293763,,10/18/2011,101.79,103.83,109.35,109.12,NA,104.18,99.17,101.03
XS0458257796,,10/19/2011,101.57,103.72,109.16,108.94,NA,103.58,98.56,100.71
XS0502286908,,10/20/2011,101.76,103.69,109.24,109.01,NA,104.13,99.09,100.95
XS0521158500,,10/21/2011,101.62,103.64,109.03,108.87,NA,103.76,98.79,100.72
,,10/24/2011,101.76,103.66,109.24,108.92,NA,103.89,98.88,100.84
,,10/25/2011,101.8,103.77,109.36,109.04,NA,104.01,98.98,100.58
,,10/26/2011,102.14,103.81,109.47,109.16,NA,104.28,99.4,100.88
,,10/27/2011,101.91,103.59,109.14,108.86,NA,103.26,98.09,100.3
,,10/28/2011,101.81,103.68,109.26,108.92,NA,103.22,98.16,100.16
,,10/31/2011,102.29,103.8,109.57,109.24,NA,104.37,99.48,101.1
,,11/1/2011,103.11,104.04,109.91,109.63,NA,106.11,101.59,102.79
,,11/2/2011,102.84,104,109.78,109.4,NA,105.51,101.03,102.42
,,11/3/2011,102.84,104.02,109.81,109.41,NA,104.93,100.49,101.92
,,11/4/2011,102.87,104.04,110.17,109.28,NA,105.49,101.08,101.83
,,11/7/2011,103.18,103.99,110.37,109.5,NA,106.15,101.68,102.75
,,11/8/2011,103.12,103.95,110.32,109.39,NA,106.14,101.79,102.72
,,11/9/2011,103.17,103.98,110.47,109.52,NA,106.57,102.28,102.99
,,11/10/2011,102.97,103.97,110.32,109.43,NA,106.06,101.72,102.61
,,11/11/2011,102.93,103.95,110.19,109.34,NA,105.23,100.69,101.8
,,11/14/2011,103.16,104.04,110.5,109.52,NA,105.8,101.38,102.29
,,11/15/2011,103.4,104.07,110.56,109.35,NA,105.87,101.55,102.3
,,11/16/2011,103.07,103.96,110.32,109.17,NA,105.33,100.89,101.89
,,11/17/2011,102.77,103.8,110.1,108.84,NA,104.87,100.43,101.39
,,11/18/2011,102.49,103.76,109.63,108.9,NA,104.26,99.43,100.61
,,11/21/2011,102.64,103.83,109.85,108.99,NA,104.53,99.78,100.58
,,11/22/2011,102.48,103.71,109.85,108.99,NA,104.39,99.58,100.48
,,11/23/2011,102.08,103.62,109.53,108.76,NA,103.36,98.45,99.72
,,11/24/2011,101.56,103.5,109.27,108.63,NA,102.2,96.83,98.71
,,11/25/2011,101.41,103.47,109.21,108.48,NA,101.66,95.96,98.29
,,11/28/2011,101.02,103.52,109.11,108.51,NA,101.22,95.36,97.87
,,11/29/2011,101,103.58,109.07,108.52,NA,100.97,94.99,97.73
,,11/30/2011,101.28,103.75,109.44,108.71,NA,101.28,95.45,98.02
,,12/1/2011,101.76,103.74,109.77,108.71,NA,102.12,95.98,98.51
,,12/2/2011,101.99,103.65,109.87,108.81,NA,102.58,95.97,98.91
,,12/5/2011,101.88,103.59,109.71,108.66,NA,101.74,95.63,98.74
,,12/6/2011,101.75,103.34,109.73,108.68,NA,101.62,95.31,98.47
,,12/7/2011,101.85,103.48,109.54,108.48,NA,102.67,95.82,99.04
,,12/8/2011,102.17,103.46,109.93,108.7,NA,102.93,96.4,99.57
,,12/9/2011,102.04,103.42,109.71,108.7,NA,102.31,95.84,99.45
,,12/12/2011,102.18,103.49,109.87,108.8,NA,102.9,96.44,99.72
,,12/13/2011,102.17,103.47,109.84,108.77,NA,102.86,96.46,99.8
,,12/14/2011,102.34,103.47,109.88,108.78,NA,103.53,97.19,100.32
,,12/15/2011,102.51,103.51,109.93,108.8,NA,103.62,96.85,100.49
,,12/16/2011,102.56,103.54,110.1,108.89,NA,104.12,97.72,100.87
,,12/19/2011,102.64,103.49,110.13,108.83,NA,104.05,97.68,100.92
,,12/20/2011,102.53,103.55,110.07,108.85,NA,103.63,96.98,100.8
,,12/21/2011,102.43,103.5,110.01,108.75,NA,103.63,96.96,100.76
,,12/22/2011,102.45,103.5,110,108.64,NA,104.05,96.96,100.85
,,12/23/2011,102.49,103.46,109.98,108.75,NA,104.1,96.99,100.9
,,12/26/2011,102.49,103.46,109.98,108.75,NA,104.1,96.99,100.9
,,12/27/2011,102.62,103.23,110.16,108.24,NA,104.27,96.64,101.2
,,12/28/2011,102.64,103.63,110.2,109.04,NA,104.51,97.43,101.11
,,12/29/2011,102.76,103.55,110.22,108.88,NA,104.78,97.58,101.52
,,12/30/2011,102.87,103.62,110.33,109.02,NA,105.06,97.88,101.76
,,1/2/2012,102.93,103.2,110.23,109.17,NA,104.59,97.4,101.68
