Bonds,,Date,XS0179486526,XS0367001574,FR0010961540,FR0010961581,XS0162990229,FR0011225143,FR0000487258,XS0367001228,FR0011637586,FR0010891317,XS0342783692,XS0409749206,FR0011182641,FR0011318658,XS0409744744,XS0400736475,FR0010800540,FR0010758888
XS0179486526,,10/12/2011,104.93,106.91,96.28,91.12,106.44,NA,110.71,110.93,NA,94.57,108.7,117.81,NA,NA,107.93,104.33,102.49,105.23
XS0367001574,,10/13/2011,105.01,107.03,96.98,91.86,107.42,NA,110.82,111.02,NA,94.78,108.92,118.32,NA,NA,108.13,104.31,103.63,105.38
FR0010961540,,10/14/2011,105.01,106.95,96.73,91.6,106.53,NA,110.36,110.96,NA,93.8,108.28,118.11,NA,NA,108.09,104.32,103.26,105.32
FR0010961581,,10/17/2011,105.1,107.06,97.02,92.03,107.37,NA,110.53,111.3,NA,94.19,108.43,118.49,NA,NA,108.33,104.35,104.04,105.44
XS0162990229,,10/18/2011,105.14,107.21,98.29,93.7,108.53,NA,110.42,112.5,NA,94.05,108.46,119.56,NA,NA,108.5,104.35,104.85,105.65
FR0011225143,,10/19/2011,104.99,107.05,97.92,92.58,107.79,NA,109.97,112.16,NA,93.41,107.92,119.15,NA,NA,108.38,104.3,104.39,105.52
FR0000487258,,10/20/2011,105.03,107.04,98.5,93.12,108.27,NA,110.21,112.46,NA,93.84,107.92,119.46,NA,NA,108.46,104.31,104.88,105.54
XS0367001228,,10/21/2011,105.04,106.97,98.17,93.06,107.88,NA,110.18,112.28,NA,93.61,108.09,119.24,NA,NA,108.3,104.27,104.39,105.54
FR0011637586,,10/24/2011,105.12,106.99,98.07,93.15,107.76,NA,110.32,112.18,NA,93.01,108.18,119.18,NA,NA,108.3,104.31,104.3,105.62
FR0010891317,,10/25/2011,105.24,107.06,98.16,93.15,108.15,NA,110.97,112.28,NA,93.76,108.81,119.48,NA,NA,108.48,104.32,104.57,105.72
XS0342783692,,10/26/2011,105.35,107.29,98.52,93.43,108.28,NA,111.81,112.66,NA,95.34,109.79,119.9,NA,NA,108.69,104.36,105.02,105.86
XS0409749206,,10/27/2011,105.18,107.09,97.97,92.64,106.64,NA,111.65,112.09,NA,95.54,109.74,119.01,NA,NA,108.42,104.3,104.23,105.82
FR0011182641,,10/28/2011,105.23,107.01,97.53,91.64,106.82,NA,111.33,112.03,NA,94.62,109.45,119.01,NA,NA,108.44,104.32,104.07,105.71
FR0011318658,,10/31/2011,105.33,107.26,98.67,93.02,108.29,NA,111.67,113.1,NA,95.17,109.63,120.26,NA,NA,108.85,104.39,105.13,105.89
XS0409744744,,11/1/2011,105.51,107.57,101.1,95.82,110.93,NA,112.08,114.74,NA,96.76,110.39,122.01,NA,NA,109.27,104.47,107.35,106.22
XS0400736475,,11/2/2011,105.5,107.58,100.77,95.13,110.06,NA,111.84,114.69,NA,95.43,110.08,121.87,NA,NA,109.27,104.47,107.15,106.15
FR0010800540,,11/3/2011,105.5,107.58,100.13,94.35,109.17,NA,111.85,114.44,NA,94.47,109.94,121.43,NA,NA,109.2,104.5,106.53,106.23
