Bonds,,Date,BE0934260531,XS0363710566,FR0011289230,FR0000475741,FR0010718189,FR0000472334,FR0011289222,FR0000475758,FR0011261924,FR0010952770,FR0011261916,FR0011147305,FR0011261890,FR0010709451,FR0010952739,FR0011911239,FR0010678185,FR0011911247,FR0000472326,FR0010678151,FR0010709279
BE0934260531,,10/12/2011,106.9844,102.7,NA,108.46,107.78,110.39,NA,116.73,NA,95.89,NA,NA,NA,120.75,98.24,NA,122.23,NA,103.86,109.02,111.25
XS0363710566,,10/13/2011,107.1347,102.88,NA,108.36,107.88,110.75,NA,116.27,NA,95.98,NA,NA,NA,121.2,98.13,NA,122.64,NA,103.9,109.12,111.45
FR0011289230,,10/14/2011,107.021,102.98,NA,108.5,107.87,110.67,NA,116.14,NA,95.69,NA,NA,NA,120.9,98.14,NA,122.5,NA,103.91,109.12,111.42
FR0000475741,,10/17/2011,107.4506,103.25,NA,108.47,108.02,111.09,NA,116.82,NA,96.19,NA,NA,NA,121.26,98.62,NA,122.87,NA,104.02,109.27,111.7
FR0010718189,,10/18/2011,107.1353,103.17,NA,108.73,108.34,111.64,NA,117.05,NA,97.32,NA,NA,NA,122.37,99.77,NA,123.64,NA,104.07,109.33,112.11
FR0000472334,,10/19/2011,107.0091,103.63,NA,108.63,108.15,111.37,NA,116.8,NA,97.19,NA,NA,NA,121.91,99.56,NA,123.41,NA,104,109.2,111.89
FR0011289222,,10/20/2011,106.772,103.52,NA,108.67,108,111.56,NA,117.3,NA,97.41,NA,NA,NA,122.14,99.63,NA,123.58,NA,104,109.14,112.01
FR0000475758,,10/21/2011,106.7755,103.5,NA,108.64,108.11,111.29,NA,116.51,NA,97.26,NA,NA,NA,121.93,99.54,NA,123.45,NA,103.98,109.18,111.8
FR0011261924,,10/24/2011,106.9004,103.63,NA,108.51,108.17,111.41,NA,116.95,NA,97.52,NA,NA,NA,121.61,99.57,NA,123.45,NA,103.99,109.19,111.8
FR0010952770,,10/25/2011,106.9457,103.84,NA,108.67,108.2,111.58,NA,116.97,NA,97.22,NA,NA,NA,121.94,99.54,NA,123.44,NA,104.04,109.3,112
FR0011261916,,10/26/2011,107.1765,104.07,NA,108.64,108.49,111.67,NA,117.43,NA,97.92,NA,NA,NA,122.41,99.91,NA,123.77,NA,104.08,109.41,112.29
FR0011147305,,10/27/2011,107.0157,104.37,NA,108.44,108.4,111.15,NA,116.3,NA,97.09,NA,NA,NA,121.71,99.68,NA,123.16,NA,104.03,109.35,111.93
FR0011261890,,10/28/2011,106.658,104.63,NA,108.57,108.24,111.5,NA,116.39,NA,96.98,NA,NA,NA,121.68,99.62,NA,123.06,NA,104,109.39,111.96
FR0010709451,,10/31/2011,107.654,104.69,NA,108.64,108.54,112.26,NA,117.26,NA,97.86,NA,NA,NA,122.85,100.18,NA,124.08,NA,104.04,109.55,112.58
FR0010952739,,11/1/2011,107.955,104.35,NA,108.94,109.06,113.42,NA,118.07,NA,100.26,NA,NA,NA,124.4,101.36,NA,125.29,NA,104.13,109.74,113.28
FR0011911239,,11/2/2011,107.7368,104.75,NA,108.94,109.02,113.16,NA,118.52,NA,99.42,NA,NA,NA,124.38,101.1,NA,125.42,NA,104.12,109.75,113.24
FR0010678185,,11/3/2011,107.8815,105.13,NA,109.04,109.07,112.98,NA,118.57,NA,99.43,NA,NA,NA,124.13,101.12,NA,125.07,NA,104.15,109.72,113.18
FR0011911247,,11/4/2011,107.7327,105.1,NA,109.18,109.07,113.25,NA,118.31,NA,99.56,NA,NA,NA,124.35,100.99,NA,125.23,NA,104.17,109.69,113.28
FR0000472326,,11/7/2011,108.0195,105.07,NA,109.14,109.2,113.69,NA,118.64,NA,99.97,NA,NA,NA,125.03,101.54,NA,125.65,NA,104.19,109.76,113.54
FR0010678151,,11/8/2011,108.0458,104.95,NA,108.99,109.12,113.38,NA,118.38,NA,99.96,NA,NA,NA,124.6,101.32,NA,125.11,NA,104.4,109.93,113.42
FR0010709279,,11/9/2011,108.1978,105.07,NA,108.98,109.09,113.46,NA,118.9,NA,100.37,NA,NA,NA,124.7,101.28,NA,125.11,NA,104.35,109.93,113.44
,,11/10/2011,107.9921,104.83,NA,109.22,109.17,113.22,NA,119.05,NA,100.07,NA,NA,NA,124.48,101,NA,124.66,NA,104.36,110,113.18
,,11/11/2011,107.546,105.03,NA,108.95,109.04,112.83,NA,118.43,NA,99.57,NA,98.87,NA,123.85,100.78,NA,124.1,NA,104.35,109.94,112.85
,,11/14/2011,107.8045,104.93,NA,109.03,109.16,113.14,NA,118.87,NA,100,NA,99.52,NA,124.12,100.78,NA,124.33,NA,104.35,110.13,113.07
,,11/15/2011,108.0486,105.04,NA,109.09,109.25,113.24,NA,119.19,NA,100.16,NA,99.41,NA,124.24,101.01,NA,124.37,NA,104.35,110.08,113.13
,,11/16/2011,107.8871,105.2,NA,109.06,109.05,112.7,NA,118.71,NA,99.43,NA,98.98,NA,123.43,100.78,NA,123.87,NA,104.26,109.86,112.78
,,11/17/2011,107.5413,105.04,NA,108.9,108.89,112.06,NA,117.95,NA,98.7,NA,97.91,NA,122.64,100.21,NA,123.09,NA,104.19,109.72,112.39
,,11/18/2011,107.4133,104.84,NA,108.82,108.53,111.64,NA,117.2,NA,97.62,NA,97.54,NA,121.73,99.47,NA,122.33,NA,104.11,109.56,111.9
,,11/21/2011,107.539,104.43,NA,108.82,108.36,111.29,NA,117.74,NA,97.3,NA,97.44,NA,121.2,99.22,NA,121.98,NA,103.92,109.49,111.54
,,11/22/2011,107.5735,104.57,NA,108.75,108.19,111,NA,117.58,NA,96.54,NA,96.83,NA,120.66,98.64,NA,121.37,NA,103.89,109.48,111.26
,,11/23/2011,107.0531,104.28,NA,108.31,107.74,109.93,NA,116.69,NA,95.62,NA,95.38,NA,119.34,97.89,NA,119.77,NA,103.77,109.25,110.07
,,11/24/2011,107.0071,104.18,NA,108.07,107.14,109.19,NA,116.31,NA,94.23,NA,94.42,NA,118.04,96.3,NA,118.72,NA,103.7,108.99,109.43
,,11/25/2011,106.8322,103.98,NA,108.29,106.91,108.88,NA,116.51,NA,93.78,NA,93.77,NA,117.47,96.43,NA,118.25,NA,103.64,108.92,109.23
,,11/28/2011,106.839,104.07,NA,108.4,106.85,108.63,NA,115.11,NA,93.13,NA,93.7,NA,116.95,95.65,NA,118.02,NA,103.79,108.97,109.06
,,11/29/2011,106.7256,104.22,NA,108.42,106.91,108.33,NA,115.4,NA,93.08,NA,93.37,NA,116.7,95.89,NA,117.65,NA,103.78,108.91,109.03
