Bonds,,Date,XS1493328477,XS1684269332,XS1412593185,XS0798555537,XS1292988984,XS1551068676,XS2623957078,XS2065946837,XS0996354956,XS1412711217,XS1493322355,XS0951565091,XS0741137029,XS1180451657,XS2176783319,XS2344735811,XS1023703090,XS2107315470,XS2637952610,XS2176785447,IT0004503717,XS0563739696,XS0521000975,XS0860994200,IT0004760655,XS0970852348,XS2623956773,XS0877820422,XS0400780887,XS0331141332,XS0451457435,XS0167456267,XS0411044653,IT0005521171
XS1493328477,,10/12/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.36,96.46,97.08,NA,101.01,NA,NA,NA,106.15,103.55,98.82,102.8,105.53,NA
XS1684269332,,10/13/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.08,96.62,97.58,NA,100.88,NA,NA,NA,106.39,104.21,99.5,102.83,105.85,NA
XS1412593185,,10/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.21,96.6,97.17,NA,100.83,NA,NA,NA,106.29,103.88,99.1,102.88,105.7,NA
XS0798555537,,10/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.35,97.89,98.13,NA,100.93,NA,NA,NA,106.46,104.37,100.06,103.21,106.11,NA
XS1292988984,,10/18/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.06,98.16,98.65,NA,101,NA,NA,NA,106.51,105.07,100.39,103.11,106.3,NA
XS1551068676,,10/19/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.09,97.96,98.36,NA,100.95,NA,NA,NA,106.47,104.89,100.23,103.13,106.13,NA
XS2623957078,,10/20/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.33,98.27,98.82,NA,101.01,NA,NA,NA,106.51,105.04,100.44,103.27,106.33,NA
XS2065946837,,10/21/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.01,97.65,98.55,NA,101.08,NA,NA,NA,106.43,104.7,99.91,103.24,106.05,NA
XS0996354956,,10/24/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.23,98.21,98.52,NA,100.98,NA,NA,NA,106.46,104.83,100.06,103.35,106.08,NA
XS1412711217,,10/25/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.09,98.25,98.78,NA,101.25,NA,NA,NA,106.69,105.25,100.23,103.54,106.46,NA
XS1493322355,,10/26/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.09,98.5,99.17,NA,101.2,NA,NA,NA,106.82,105.56,100.73,103.54,106.87,NA
XS0951565091,,10/27/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.42,98.26,98.78,NA,101.43,NA,NA,NA,106.62,104.97,100.17,103.53,106.38,NA
XS0741137029,,10/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.65,98.58,99.04,NA,101.73,NA,NA,NA,106.81,105.24,100.5,103.43,106.68,NA
XS1180451657,,10/31/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.82,99.22,99.91,NA,101.94,NA,NA,NA,106.89,106.01,101.21,103.53,107.11,NA
XS2176783319,,11/1/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.72,99.87,100.64,NA,101.67,NA,NA,NA,107.07,106.81,102.32,103.59,107.63,NA
XS2344735811,,11/2/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.25,99.37,100.18,NA,102.22,NA,NA,NA,107,106.52,101.86,103.56,107.4,NA
XS1023703090,,11/3/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.14,99,99.87,NA,101.98,NA,NA,NA,106.96,106.16,101.34,103.67,107.16,NA
XS2107315470,,11/4/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.55,99.41,100.28,NA,102.11,NA,NA,NA,106.95,106.48,101.79,103.65,107.34,NA
XS2637952610,,11/7/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.59,99.6,100.22,NA,101.88,NA,NA,NA,106.83,106.47,101.7,103.51,107.27,NA
XS2176785447,,11/8/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.34,99.6,100,NA,101.87,NA,NA,NA,106.78,106.25,101.53,103.5,107.09,NA
IT0004503717,,11/9/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.99,99.04,99.7,NA,100.01,NA,NA,NA,106.67,106.06,101.29,103.32,106.82,NA
XS0563739696,,11/10/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.71,97.94,98.7,NA,100.85,NA,NA,NA,106.35,105.25,99.91,103.23,106.19,NA
XS0521000975,,11/11/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.83,97.15,97.62,NA,101.17,NA,NA,NA,106.13,104.51,99.22,103.25,105.77,NA
XS0860994200,,11/14/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.07,97.79,98.38,NA,101.16,NA,NA,NA,106.35,105.14,99.99,103.27,106.19,NA
IT0004760655,,11/15/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.05,97.66,97.97,NA,100.95,NA,NA,NA,106.26,104.97,99.33,103.1,106.03,NA
XS0970852348,,11/16/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.86,97.37,97.76,NA,100.96,NA,NA,NA,106.12,104.64,99.07,103.06,105.8,NA
XS2623956773,,11/17/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.34,96.68,96.88,NA,100.78,NA,NA,NA,105.83,103.88,98.48,102.91,105.4,NA
XS0877820422,,11/18/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.25,96.49,96.22,NA,100.54,NA,NA,NA,105.78,103.4,98.02,102.85,105.09,NA
