Bonds,,Date,XS0162513211,XS0419267595,XS0982019126,XS0148579153,XS0412842857,XS0170641426,XS0367884375,XS0385754733,XS0361244667,XS0361244402,XS0408095387,XS0410299357,XS0322977223
XS0162513211,,10/12/2011,111.18,102.83,NA,115.74,119.63,,107.08,109.48,114.33,104.3,110.47,105.76,111.81
XS0419267595,,10/13/2011,111.43,102.81,NA,116.07,120.13,,107.26,109.78,114.59,104.37,110.81,105.84,111.94
XS0982019126,,10/14/2011,111.16,102.83,NA,115.89,119.82,,107.26,109.64,114.52,104.41,110.66,105.86,111.71
XS0148579153,,10/17/2011,111.97,102.92,NA,116.25,120.48,,107.35,109.79,114.9,104.49,110.95,106.09,112.22
XS0412842857,,10/18/2011,113.23,102.95,NA,116.95,121.63,,107.48,110.08,115.72,104.57,111.32,106.19,112.8
XS0170641426,,10/19/2011,112.16,102.89,NA,116.76,121.27,,107.44,109.89,115.38,104.46,111.14,106.11,112.65
XS0367884375,,10/20/2011,112.72,102.92,NA,116.9,121.54,,107.47,110.02,115.81,104.48,111.2,106.09,112.81
XS0385754733,,10/21/2011,112.36,103.03,NA,116.71,121.14,,107.37,109.9,115.53,104.41,111.04,105.96,112.54
XS0361244667,,10/24/2011,112.08,103,NA,116.62,121.03,,107.4,109.92,115.61,104.45,111.12,106.03,112.52
XS0361244402,,10/25/2011,112.18,103.06,NA,116.77,121.34,,107.51,110.07,115.77,104.51,111.31,106.15,112.79
XS0408095387,,10/26/2011,112.72,103.08,NA,117.13,121.88,,107.7,110.33,116.38,104.52,111.66,106.22,113.3
XS0410299357,,10/27/2011,111.11,102.86,NA,116.9,121.16,,107.52,110.21,115.62,104.55,111.48,106.15,112.95
XS0322977223,,10/28/2011,110.58,103.07,NA,116.83,121.26,,107.69,110.24,115.59,104.49,111.46,106.17,112.96
,,10/31/2011,112.14,103.11,NA,117.43,122.44,,107.93,110.73,116.68,104.6,112.04,106.41,113.79
,,11/1/2011,114.97,103.12,NA,118.57,124.37,,108.15,111.15,118.36,104.68,112.71,106.59,114.89
,,11/2/2011,114.34,103.12,NA,118.5,124.33,,108.16,111.16,118.21,104.68,112.72,106.58,114.68
,,11/3/2011,113.44,103.17,NA,118.39,123.91,,108.19,111.13,117.95,104.72,112.6,106.6,114.48
,,11/4/2011,114.03,103.24,NA,118.68,124.29,,108.37,111.32,118.55,104.81,112.89,106.6,114.77
,,11/7/2011,115.17,103.23,NA,119.19,125.07,,108.54,111.6,119.27,104.8,113.13,106.66,115.21
,,11/8/2011,115.55,103.29,NA,119.18,124.97,,108.39,111.54,119.21,104.79,113.03,106.66,115.11
,,11/9/2011,116.74,103.33,NA,119.3,125.46,,108.47,111.63,119.58,104.81,113.15,106.72,115.33
,,11/10/2011,116.66,103.33,NA,119.05,125.03,,108.47,111.56,119.34,104.81,113.06,106.7,115.11
,,11/11/2011,116.11,103.37,NA,118.68,124.51,,108.41,111.43,118.77,104.91,112.88,106.63,114.69
,,11/14/2011,116.64,103.43,NA,119.15,124.92,,108.59,111.76,119.3,104.93,113.27,106.82,115.06
,,11/15/2011,117.13,103.41,NA,119.49,125.19,,108.63,111.93,119.6,104.97,113.44,106.85,115.32
,,11/16/2011,116.41,103.34,NA,119.08,124.71,,108.49,111.68,118.94,104.85,113.12,106.71,114.91
,,11/17/2011,115.77,103.24,NA,118.76,124.18,,108.4,111.54,118.44,104.8,112.95,106.61,114.65
,,11/18/2011,113.46,103.26,NA,118.27,123.41,,108.26,111.29,117.61,104.77,112.64,106.5,114.13
,,11/21/2011,114.08,103.33,NA,118.37,123.6,,108.35,111.44,117.78,104.81,112.77,106.59,114.3
,,11/22/2011,113.42,103.29,NA,118.38,123.22,,108.4,111.28,117.45,104.81,112.73,106.54,114.27
,,11/23/2011,112.27,103.13,NA,118.02,122.26,,108.2,111.01,116.77,104.67,112.31,106.35,113.7
,,11/24/2011,110.55,103.09,NA,117.24,121,,107.93,110.53,115.65,104.48,111.7,106.12,112.9
,,11/25/2011,109.34,103.12,NA,117.17,120.55,,107.97,110.43,115.36,104.54,111.46,106.12,112.75
,,11/28/2011,109.25,103.21,NA,116.92,120.13,,107.95,110.31,114.97,104.52,111.27,106.13,112.42
,,11/29/2011,108.53,103.21,NA,116.78,119.8,,107.95,110.26,114.65,104.58,111.18,106.1,112.24
,,11/30/2011,108.53,103.29,NA,117.2,120.36,,108.17,110.57,115.24,104.71,111.67,106.28,112.73
,,12/1/2011,109.03,103.33,NA,117.78,121.03,,108.32,110.92,116.1,104.75,112.05,106.32,113.4
,,12/2/2011,110.98,103.3,NA,118.03,121.62,,108.33,110.99,116.46,104.61,112.21,106.29,113.68
,,12/5/2011,110.92,103.14,NA,117.9,121.23,,108.24,110.84,116.2,104.6,112.05,106.25,113.46
,,12/6/2011,110.58,103.17,NA,117.71,121.07,,108.21,110.78,116.15,104.63,111.94,106.25,113.36
,,12/7/2011,111.98,103.19,NA,118.1,121.81,,108.32,110.9,116.79,104.74,111.97,106.33,113.72
,,12/8/2011,112.83,103.23,NA,118.47,122.65,,108.43,111.19,117.36,104.86,112.4,106.44,114.23
,,12/9/2011,112.18,103.22,NA,118.3,122.08,,108.37,111.12,117.1,104.8,112.28,106.42,114.01
,,12/12/2011,112.96,103.28,NA,118.62,122.58,,108.46,111.27,117.62,104.82,112.48,106.48,114.24
,,12/13/2011,113.2,103.23,NA,118.42,122.59,,108.45,111.22,117.57,104.84,112.44,106.45,114.1
,,12/14/2011,114.88,103.21,NA,118.78,123.11,,108.47,111.23,118.06,104.77,112.63,106.44,114.47
,,12/15/2011,115.32,103.21,NA,118.93,123.22,,108.51,111.29,118.24,104.79,112.74,106.43,114.58
,,12/16/2011,115.74,103.21,NA,119.17,123.7,,108.58,111.36,118.59,104.83,112.91,106.5,114.79
,,12/19/2011,115.97,103.19,NA,119.29,123.73,,108.58,111.4,118.64,104.84,112.92,106.5,114.86
,,12/20/2011,115.09,103.18,NA,119.07,123.25,,108.56,111.39,118.32,104.86,112.85,106.47,114.64
,,12/21/2011,114.86,103.15,NA,118.92,123.13,,108.47,111.28,118.21,104.79,112.82,106.41,114.54
,,12/22/2011,114.88,103.16,NA,118.83,123.11,,108.43,111.2,118.13,104.75,112.81,106.37,114.49
,,12/23/2011,115.19,103.17,NA,118.78,123.04,,108.46,111.18,118.14,104.75,112.71,106.41,114.42
,,12/26/2011,115.19,103.17,NA,118.78,123.04,,108.46,111.18,118.14,104.75,112.71,106.41,114.42
,,12/27/2011,115.48,103.19,NA,119,123.26,,108.54,111.3,118.37,104.76,112.77,106.4,114.46
,,12/28/2011,115.88,103.23,NA,118.91,123.49,,108.57,111.34,118.44,104.77,112.9,106.47,114.64
,,12/29/2011,116.19,103.23,NA,119.22,123.88,,108.59,111.42,118.83,104.77,113.01,106.51,114.91
,,12/30/2011,116.2,103.23,NA,119.31,124.16,,108.6,111.47,119.09,104.78,113.14,106.49,115.08
,,1/2/2012,116.04,103.31,NA,119.36,123.86,,108.57,111.4,118.83,104.77,113,106.49,114.93
,,1/3/2012,115.37,103.23,NA,119.34,123.75,,108.56,111.46,118.86,104.79,112.98,106.45,115
,,1/4/2012,115.53,103.21,NA,119.3,123.75,,108.56,111.44,118.96,104.76,112.92,106.45,114.97
,,1/5/2012,116.37,103.22,NA,119.47,124.17,,108.58,111.52,119.26,104.77,113.04,106.51,115.2
,,1/6/2012,116.39,103.23,NA,119.49,124.38,,108.61,111.6,119.47,104.77,113.06,106.49,115.3
,,1/9/2012,116.38,103.25,NA,119.51,124.48,,108.63,111.58,119.52,104.74,113.1,106.52,115.31
,,1/10/2012,116.27,103.34,NA,119.5,124.25,,108.59,111.49,119.25,104.71,113.01,106.51,115.13
,,1/11/2012,116.51,103.18,NA,119.6,124.6,,108.6,111.55,119.51,104.69,113.11,106.43,115.36
,,1/12/2012,116.78,103.15,NA,119.71,124.83,,108.56,111.55,119.63,104.69,113.12,106.49,115.44
,,1/13/2012,117.56,103.12,NA,119.9,125.29,,108.6,111.65,119.96,104.63,113.24,106.51,115.71
,,1/16/2012,117.94,103.1,NA,119.94,125.43,,108.6,111.7,120.12,104.63,113.27,106.46,115.8
,,1/17/2012,117.89,103.18,NA,119.93,125.33,,108.51,111.62,119.97,104.58,113.17,106.44,115.66
,,1/18/2012,118.02,103.19,NA,119.72,125.53,,108.42,111.56,119.93,104.54,113.09,106.35,115.7
,,1/19/2012,117.37,103.18,NA,119.62,125.14,,108.35,111.49,119.62,104.51,112.92,106.34,115.53
,,1/20/2012,116.67,103.19,NA,119.35,124.64,,108.32,111.38,119.29,104.51,112.81,106.36,115.26
,,1/23/2012,115.82,103.16,NA,119.29,124.47,,108.37,111.44,119.15,104.53,112.8,106.42,115.37
,,1/24/2012,115.6,103.12,NA,119.23,124.46,,108.31,111.4,119.12,104.5,112.66,106.43,115.32
,,1/25/2012,116.17,103.13,NA,119.4,124.76,,108.33,111.47,119.57,104.48,112.78,106.36,115.53
,,1/26/2012,117.01,103.13,NA,119.84,125.52,,108.47,111.67,120.38,104.52,113.06,106.46,115.97
,,1/27/2012,117.74,103.15,NA,120.1,125.87,,108.42,111.74,120.72,104.5,113.19,106.45,116.14
,,1/30/2012,118.86,103.14,NA,120.36,126.42,,108.48,111.87,120.94,104.51,113.36,106.44,116.41
,,1/31/2012,119.47,103.13,NA,120.49,126.79,,108.45,111.92,121.2,104.51,113.43,106.47,116.64
,,2/1/2012,120.35,103.11,NA,120.54,127.08,,108.41,111.94,121.11,104.49,113.35,106.49,116.6
,,2/2/2012,121.13,103.13,NA,120.51,127.08,,108.43,111.94,121.13,104.48,113.38,106.5,116.61
,,2/3/2012,120.68,103.14,NA,120.41,126.9,,108.43,111.86,120.83,104.48,113.27,106.48,116.43
,,2/6/2012,121.57,103.14,NA,120.4,127.14,,108.52,112.01,121.12,104.44,113.48,106.44,116.54
,,2/7/2012,121.09,103.12,NA,120.35,127.14,,108.46,111.85,120.71,104.47,113.41,106.47,116.4
,,2/8/2012,120.69,103.12,NA,120.18,126.92,,108.37,111.69,120.66,104.44,113.21,106.43,116.3
,,2/9/2012,119.59,103.08,NA,120.09,126.55,,108.31,111.61,120.31,104.42,113.09,106.39,116.13
,,2/10/2012,120.74,103.08,NA,120.33,127.14,,108.34,111.75,120.95,104.41,113.32,106.47,116.51
,,2/13/2012,120.76,103.06,NA,120.36,127.2,,108.3,111.68,120.95,104.38,113.26,106.45,116.48
,,2/14/2012,121.43,103.06,NA,120.45,127.42,,108.32,111.77,121.21,104.38,113.4,106.45,116.58
,,2/15/2012,121.96,103.04,NA,120.77,127.8,,108.35,111.88,121.5,104.37,113.51,106.49,116.82
,,2/16/2012,122.32,103.04,NA,120.72,127.83,,108.37,111.91,121.5,104.36,113.46,106.46,116.73
,,2/17/2012,121.53,103.05,NA,120.48,127.42,,108.31,111.8,121.23,104.36,113.39,106.41,116.57
,,2/20/2012,121.4,103.07,NA,120.37,127.28,,108.27,111.77,121.16,104.36,113.34,106.41,116.46
,,2/21/2012,121.01,103.06,NA,120.46,127.27,,108.28,111.73,121.08,104.34,113.37,106.4,116.4
,,2/22/2012,121.79,103.05,NA,120.59,127.64,,108.28,111.89,121.6,104.32,113.5,106.43,116.79
,,2/23/2012,122.29,103.03,NA,120.83,128.04,,108.29,111.93,121.94,104.31,113.61,106.43,117.01
,,2/24/2012,122.48,103.07,NA,120.94,128.29,,108.38,112.04,122.21,104.35,113.72,106.46,117.18
,,2/27/2012,123.07,103.07,NA,121.18,128.67,,108.5,112.2,122.56,104.4,113.92,106.54,117.53
,,2/28/2012,123.29,103.07,NA,121.3,128.99,,108.55,112.32,122.9,104.37,114.08,106.59,117.76
,,2/29/2012,123.4,103.05,NA,121.26,128.98,,108.57,112.32,122.72,104.38,114.03,106.56,117.85
,,3/1/2012,123.38,103.06,NA,121.22,128.8,,108.59,112.29,122.65,104.4,113.96,106.6,117.7
,,3/2/2012,123.72,103.08,NA,121.48,129.13,,108.67,112.49,123.21,104.43,114.13,106.63,117.96
,,3/5/2012,123.95,103.06,NA,121.46,129.24,,108.63,112.46,123.59,104.44,114.09,106.61,117.97
,,3/6/2012,123.95,103.05,NA,121.59,129.55,,108.67,112.57,123.84,104.42,114.21,106.58,118.18
,,3/7/2012,123.95,103.05,NA,121.55,129.56,,108.61,112.53,123.78,104.4,114.21,106.59,118.2
,,3/8/2012,123.83,103.02,NA,121.62,129.51,,108.59,112.57,123.67,104.39,114.18,106.58,118.15
,,3/9/2012,123.98,103.02,NA,121.77,129.59,,108.6,112.53,123.71,104.4,114.27,106.59,118.16
,,3/12/2012,124.31,103.03,NA,121.9,129.84,,108.62,112.56,124.04,104.4,114.33,106.59,118.29
