Bonds,,Date,FR0010454090,XS0520759803,XS0478802548,XS0478803355,XS0458230322
FR0010454090,,10/12/2011,86.62,101.7,101.52,92.3,100.19
XS0520759803,,10/13/2011,86.56,102.45,102.36,93.55,101.55
XS0478802548,,10/14/2011,86.18,102.63,102.52,93.79,101.78
XS0478803355,,10/17/2011,87.53,102.9,102.97,94.8,102.5
XS0458230322,,10/18/2011,87.64,102.91,103.06,94.42,102.61
,,10/19/2011,87.3,103.36,103.57,95.31,102.86
,,10/20/2011,87.01,103.39,103.49,95.44,102.81
,,10/21/2011,86.04,103.26,103.19,95.35,102.66
,,10/24/2011,85.63,103.57,103.64,95.7,103.13
,,10/25/2011,85.8,103.85,103.95,96.4,103.93
,,10/26/2011,85.8,104.13,104.03,96.57,104.15
,,10/27/2011,86.05,104.92,104.78,99.43,106.03
,,10/28/2011,85.94,105.55,105.11,101.17,107.11
,,10/31/2011,85.6,105.57,104.98,100.9,106.97
,,11/1/2011,85.83,104.67,103.99,99.15,105.78
,,11/2/2011,85.8,104.47,104.28,99.66,105.59
,,11/3/2011,85.52,104.64,104.58,100.14,106.05
,,11/4/2011,85.55,105.09,104.67,100.62,106.57
,,11/7/2011,85.31,105.31,104.81,100.72,106.39
,,11/8/2011,85.25,105.46,105.02,100.82,106.21
,,11/9/2011,85.26,105.01,104.65,99.69,105.24
,,11/10/2011,85.32,104.57,104.33,98.53,104.65
,,11/11/2011,84.87,104.92,104.38,98.84,104.54
,,11/14/2011,84.98,105.11,104.58,99,104.69
,,11/15/2011,85.31,105.14,104.67,98.96,104.67
,,11/16/2011,85.22,105.2,104.63,98.69,104.61
,,11/17/2011,84.91,105.02,104.51,98.76,104.37
,,11/18/2011,84.78,104.97,104.47,98.37,104.4
,,11/21/2011,84.28,104.84,104.49,98.16,104.03
,,11/22/2011,83.71,104.7,104.2,97.65,103.71
,,11/23/2011,82.13,103.98,103.64,96.34,102.7
,,11/24/2011,83.08,102.59,102.4,94.82,100.9
,,11/25/2011,82.22,102.05,102.3,94.13,100.43
,,11/28/2011,83.62,101.98,102.36,94.38,100.2
,,11/29/2011,83.44,102.12,102.24,94.09,100.18
,,11/30/2011,83.87,101.93,102.31,94.32,100.21
,,12/1/2011,84.61,101.97,102.4,94.55,99.97
,,12/2/2011,85.08,102.41,102.59,95.26,100.58
,,12/5/2011,85.11,102.7,102.65,95.53,100.78
,,12/6/2011,85.24,102.63,102.78,95.14,100.77
,,12/7/2011,85.34,102.7,102.9,95.37,101.02
,,12/8/2011,85.65,102.83,103.04,95.39,101.1
,,12/9/2011,85.62,103.08,103.06,95.18,101.22
,,12/12/2011,85.8,102.98,102.89,95.17,101.34
,,12/13/2011,85.81,102.93,102.93,95.02,101.27
,,12/14/2011,85.98,102.94,102.91,94.79,101.07
,,12/15/2011,85.7,103.06,102.96,94.67,100.96
,,12/16/2011,85.23,103.19,102.99,94.7,101.22
,,12/19/2011,84.74,103.23,102.64,94.67,101.02
,,12/20/2011,84.66,103.38,102.7,94.59,101.29
,,12/21/2011,84.74,103.61,103.17,94.87,101.34
,,12/22/2011,84.88,103.79,103.05,95.01,101.73
