Bonds,,Date,XS0801954867,FR0010032730,XS0235605853,XS0307005545,XS0196630270,XS0975113498,XS0365901734
XS0801954867,,10/12/2011,NA,100.08,93.15,89.91,99.95,NA,97.54
FR0010032730,,10/13/2011,NA,100.57,93.69,91.31,100.28,NA,98.13
XS0235605853,,10/14/2011,NA,100.71,94.28,91.88,100.99,NA,98.13
XS0307005545,,10/17/2011,NA,100.92,94.33,92.91,101.56,NA,98.75
XS0196630270,,10/18/2011,NA,100.94,94.22,93.28,101.46,NA,99.2
XS0975113498,,10/19/2011,NA,101.11,94.53,93.02,101.55,NA,99.54
XS0365901734,,10/20/2011,NA,101.2,94.23,93.25,101.44,NA,99.33
,,10/21/2011,NA,101.2,94.71,93.15,101.54,NA,99.64
,,10/24/2011,NA,101.6,94.75,93.55,101.95,NA,100.18
,,10/25/2011,NA,101.62,95.76,93.71,102.07,NA,100.67
,,10/26/2011,NA,101.7,95.71,93.86,102.32,NA,101.28
,,10/27/2011,NA,101.89,96.94,94.51,102.49,NA,102.18
,,10/28/2011,NA,102.17,97.25,94.91,102.91,NA,102.56
,,10/31/2011,NA,102.02,97.36,95.02,103.22,NA,102.38
,,11/1/2011,NA,101.57,97.03,93.57,102.73,NA,101.71
,,11/2/2011,NA,101.62,97.38,93.37,102.87,NA,101.63
,,11/3/2011,NA,101.69,96.91,93.49,102.96,NA,101.38
,,11/4/2011,NA,101.88,97.29,93.99,103.2,NA,101.76
,,11/7/2011,NA,101.86,97.14,93.52,102.9,NA,101.82
,,11/8/2011,NA,101.75,97.09,93.53,103.05,NA,101.77
,,11/9/2011,NA,102.11,96.79,93.33,102.74,NA,101.69
,,11/10/2011,NA,102.1,96.85,93.18,102.87,NA,101.2
,,11/11/2011,NA,101.78,97.24,92.88,102.24,NA,101.17
,,11/14/2011,NA,102.08,97.24,93.13,102.44,NA,101.43
,,11/15/2011,NA,101.73,96.95,91.91,101.89,NA,100.77
,,11/16/2011,NA,101.74,96.5,91.2,101.6,NA,100.18
,,11/17/2011,NA,101.4,95.91,90.72,101.42,NA,99.43
,,11/18/2011,NA,101.08,95.71,90.28,100.89,NA,99.12
,,11/21/2011,NA,100.95,95.39,88.37,100.3,NA,98.4
,,11/22/2011,NA,100.5,95,88.6,100.07,NA,97.27
,,11/23/2011,NA,100.3,93.95,86.58,99.44,NA,96.27
,,11/24/2011,NA,100.07,93.05,84.76,98.92,NA,95.53
,,11/25/2011,NA,99.71,93.27,84.99,98.9,NA,95.45
,,11/28/2011,NA,99.65,93.12,84.73,98.9,NA,95.56
,,11/29/2011,NA,99.85,93.26,84.85,98.89,NA,95.47
,,11/30/2011,NA,100.02,93.57,85.22,99.18,NA,95.62
,,12/1/2011,NA,100.16,93.91,86.09,99.47,NA,96.27
,,12/2/2011,NA,100.36,94.02,86.97,99.6,NA,96.68
,,12/5/2011,NA,101.16,95.28,87.86,100.32,NA,97.53
,,12/6/2011,NA,101.08,95.08,87.56,100.25,NA,97.75
,,12/7/2011,NA,101.35,95.32,87.89,100.3,NA,97.87
,,12/8/2011,NA,101.4,95.19,87.85,100.31,NA,98.04
,,12/9/2011,NA,101.45,95.34,87.25,100.27,NA,97.86
,,12/12/2011,NA,100.88,95.37,86.8,100.32,NA,98.05
,,12/13/2011,NA,100.95,95.43,86.6,100.24,NA,98
,,12/14/2011,NA,100.89,95.32,86.78,100.24,NA,97.95
,,12/15/2011,NA,100.97,95.47,86.55,100.35,NA,97.86
,,12/16/2011,NA,101.19,95.68,86.57,100.47,NA,97.94
,,12/19/2011,NA,101.08,95.64,86.65,100.47,NA,97.97
,,12/20/2011,NA,101.29,95.61,86.55,100.41,NA,98.01
,,12/21/2011,NA,101.48,95.57,86.79,100.57,NA,98.18
,,12/22/2011,NA,101.46,95.99,87.08,100.65,NA,98.32
,,12/23/2011,NA,101.3,96.05,87.2,100.54,NA,98.41
,,12/26/2011,NA,101.3,96.05,87.2,100.54,NA,98.41
,,12/27/2011,NA,101.91,95.83,87.17,100.9,NA,98.71
,,12/28/2011,NA,101.49,95.89,87.23,100.84,NA,98.58
