Bonds,,Date,XS0204395213,XS1084568762,XS1167308128,XS1048518358,XS0431928760
XS0204395213,,10/12/2011,100.4,NA,NA,NA,105.21
XS1084568762,,10/13/2011,100.97,NA,NA,NA,105.42
XS1167308128,,10/14/2011,101,NA,NA,NA,105.49
XS1048518358,,10/17/2011,101.14,NA,NA,NA,105.74
XS0431928760,,10/18/2011,101.66,NA,NA,NA,105.86
,,10/19/2011,101.69,NA,NA,NA,105.99
,,10/20/2011,101.65,NA,NA,NA,105.98
,,10/21/2011,101.58,NA,NA,NA,105.97
,,10/24/2011,101.74,NA,NA,NA,106.1
,,10/25/2011,102.14,NA,NA,NA,106.33
,,10/26/2011,102.4,NA,NA,NA,106.52
,,10/27/2011,102.52,NA,NA,NA,106.66
,,10/28/2011,102.88,NA,NA,NA,106.78
,,10/31/2011,103.11,NA,NA,NA,106.85
,,11/1/2011,103.1,NA,NA,NA,106.72
,,11/2/2011,103.06,NA,NA,NA,106.71
,,11/3/2011,102.33,NA,NA,NA,106.12
,,11/4/2011,102.3,NA,NA,NA,106.31
,,11/7/2011,102.5,NA,NA,NA,106.28
,,11/8/2011,102.46,NA,NA,NA,106.18
,,11/9/2011,102.72,NA,NA,NA,105.88
,,11/10/2011,102.11,NA,NA,NA,105.69
,,11/11/2011,102.09,NA,NA,NA,105.67
,,11/14/2011,102.36,NA,NA,NA,105.74
,,11/15/2011,102.39,NA,NA,NA,105.72
,,11/16/2011,102.25,NA,NA,NA,105.67
,,11/17/2011,102.18,NA,NA,NA,105.56
,,11/18/2011,102.03,NA,NA,NA,105.44
,,11/21/2011,102.02,NA,NA,NA,105.27
,,11/22/2011,102.16,NA,NA,NA,105.21
,,11/23/2011,101.64,NA,NA,NA,105.08
,,11/24/2011,101.44,NA,NA,NA,104.94
,,11/25/2011,101.28,NA,NA,NA,104.86
,,11/28/2011,101.48,NA,NA,NA,104.8
,,11/29/2011,101.38,NA,NA,NA,104.82
,,11/30/2011,101.55,NA,NA,NA,104.97
,,12/1/2011,101.66,NA,NA,NA,105.23
,,12/2/2011,101.79,NA,NA,NA,105.22
,,12/5/2011,101.93,NA,NA,NA,105.26
,,12/6/2011,102.19,NA,NA,NA,105.28
,,12/7/2011,102.32,NA,NA,NA,105.28
,,12/8/2011,102.5,NA,NA,NA,105.3
,,12/9/2011,102.61,NA,NA,NA,105.29
,,12/12/2011,102.66,NA,NA,NA,105.27
,,12/13/2011,102.67,NA,NA,NA,105.3
,,12/14/2011,102.9,NA,NA,NA,105.29
,,12/15/2011,102.99,NA,NA,NA,105.35
,,12/16/2011,102.92,NA,NA,NA,105.38
,,12/19/2011,102.9,NA,NA,NA,105.3
,,12/20/2011,102.89,NA,NA,NA,105.28
,,12/21/2011,102.71,NA,NA,NA,105.31
,,12/22/2011,102.83,NA,NA,NA,105.31
,,12/23/2011,102.7,NA,NA,NA,105.28
,,12/26/2011,102.7,NA,NA,NA,105.28
,,12/27/2011,102.68,NA,NA,NA,105.39
