Bonds,,Date,DE000A14J587,XS0214238239,DE000A1MA9H4,DE000A1R08U3
DE000A14J587,,10/12/2011,NA,101.92,NA,NA
XS0214238239,,10/13/2011,NA,102.92,NA,NA
DE000A1MA9H4,,10/14/2011,NA,102.76,NA,NA
DE000A1R08U3,,10/17/2011,NA,103.19,NA,NA
,,10/18/2011,NA,103.35,NA,NA
,,10/19/2011,NA,103.09,NA,NA
,,10/20/2011,NA,103.15,NA,NA
,,10/21/2011,NA,103.16,NA,NA
,,10/24/2011,NA,103.27,NA,NA
,,10/25/2011,NA,103.42,NA,NA
,,10/26/2011,NA,103.7,NA,NA
,,10/27/2011,NA,103.34,NA,NA
,,10/28/2011,NA,103.55,NA,NA
,,10/31/2011,NA,103.88,NA,NA
,,11/1/2011,NA,103.98,NA,NA
,,11/2/2011,NA,103.89,NA,NA
,,11/3/2011,NA,103.22,NA,NA
,,11/4/2011,NA,103.42,NA,NA
,,11/7/2011,NA,103.73,NA,NA
,,11/8/2011,NA,103.75,NA,NA
,,11/9/2011,NA,103.73,NA,NA
,,11/10/2011,NA,103.59,NA,NA
,,11/11/2011,NA,103.48,NA,NA
,,11/14/2011,NA,103.77,NA,NA
,,11/15/2011,NA,103.84,NA,NA
,,11/16/2011,NA,103.67,NA,NA
,,11/17/2011,NA,103.62,NA,NA
,,11/18/2011,NA,103.38,NA,NA
,,11/21/2011,NA,103.45,NA,NA
,,11/22/2011,NA,103.35,NA,NA
,,11/23/2011,NA,102.82,NA,NA
,,11/24/2011,NA,102.34,NA,NA
,,11/25/2011,NA,102.47,NA,NA
,,11/28/2011,NA,102.22,NA,NA
,,11/29/2011,NA,102.26,NA,NA
,,11/30/2011,NA,102.49,NA,NA
,,12/1/2011,NA,102.83,NA,NA
,,12/2/2011,NA,102.89,NA,NA
,,12/5/2011,NA,102.74,NA,NA
,,12/6/2011,NA,102.58,NA,NA
,,12/7/2011,NA,102.64,NA,NA
,,12/8/2011,NA,102.84,NA,NA
,,12/9/2011,NA,102.61,NA,NA
,,12/12/2011,NA,102.7,NA,NA
,,12/13/2011,NA,102.6,NA,NA
,,12/14/2011,NA,102.72,NA,NA
,,12/15/2011,NA,102.71,NA,NA
,,12/16/2011,NA,102.76,NA,NA
,,12/19/2011,NA,102.77,NA,NA
,,12/20/2011,NA,102.75,NA,NA
,,12/21/2011,NA,102.79,NA,NA
,,12/22/2011,NA,102.74,NA,NA
,,12/23/2011,NA,102.7,NA,NA
,,12/26/2011,NA,102.7,NA,NA
,,12/27/2011,NA,102.87,NA,NA
,,12/28/2011,NA,102.86,NA,NA
,,12/29/2011,NA,102.95,NA,NA
,,12/30/2011,NA,102.99,NA,NA
,,1/2/2012,NA,102.91,NA,NA
,,1/3/2012,NA,103.13,NA,NA
,,1/4/2012,NA,103.32,NA,NA
,,1/5/2012,NA,103.4,NA,NA
,,1/6/2012,NA,103.4,NA,NA
,,1/9/2012,NA,103.42,NA,NA
,,1/10/2012,NA,103.38,NA,NA
,,1/11/2012,NA,103.44,NA,NA
,,1/12/2012,NA,103.42,NA,NA
,,1/13/2012,NA,103.47,NA,NA
,,1/16/2012,NA,103.58,NA,NA
,,1/17/2012,NA,103.5,NA,NA
,,1/18/2012,NA,103.59,NA,NA
,,1/19/2012,NA,103.67,NA,NA
,,1/20/2012,NA,103.82,NA,NA
,,1/23/2012,NA,103.89,NA,NA
,,1/24/2012,NA,103.87,NA,NA
,,1/25/2012,NA,104.1,NA,NA
,,1/26/2012,NA,104.24,NA,NA
,,1/27/2012,NA,104.39,NA,NA
,,1/30/2012,NA,104.66,NA,NA
,,1/31/2012,NA,104.88,NA,NA
,,2/1/2012,NA,105.12,NA,NA
,,2/2/2012,NA,105.15,NA,NA
,,2/3/2012,NA,105.15,NA,NA
,,2/6/2012,NA,105.22,NA,NA
,,2/7/2012,NA,105.14,NA,NA
,,2/8/2012,NA,105.11,NA,NA
,,2/9/2012,NA,104.97,NA,NA
,,2/10/2012,NA,104.9,NA,NA
,,2/13/2012,NA,104.92,NA,NA
,,2/14/2012,NA,104.89,NA,NA
,,2/15/2012,NA,104.89,NA,NA
,,2/16/2012,NA,104.82,NA,NA
,,2/17/2012,NA,104.76,NA,NA
,,2/20/2012,NA,104.82,NA,NA
,,2/21/2012,NA,104.71,NA,NA
,,2/22/2012,NA,104.82,NA,NA
,,2/23/2012,NA,104.91,101.7,NA
,,2/24/2012,NA,104.94,102.46,NA
,,2/27/2012,NA,105.04,102.54,NA
,,2/28/2012,NA,105.04,102.6,NA
,,2/29/2012,NA,105.07,102.63,NA
,,3/1/2012,NA,105.06,102.45,NA
,,3/2/2012,NA,105.15,102.59,NA
,,3/5/2012,NA,105.09,102.33,NA
,,3/6/2012,NA,104.98,101.89,NA
,,3/7/2012,NA,104.91,101.67,NA
,,3/8/2012,NA,105.05,101.87,NA
,,3/9/2012,NA,105.15,102.03,NA
,,3/12/2012,NA,105.19,102.28,NA
,,3/13/2012,NA,105.08,102.24,NA
,,3/14/2012,NA,104.85,102.04,NA
,,3/15/2012,NA,104.71,102.05,NA
,,3/16/2012,NA,104.6,101.97,NA
,,3/19/2012,NA,104.56,102.16,NA
,,3/20/2012,NA,104.53,102.1,NA
,,3/21/2012,NA,104.56,102.18,NA
,,3/22/2012,NA,104.62,102.25,NA
,,3/23/2012,NA,104.62,102.21,NA
,,3/26/2012,NA,104.7,102.08,NA
,,3/27/2012,NA,104.62,102.25,NA
,,3/28/2012,NA,104.68,102.42,NA
,,3/29/2012,NA,104.69,102.5,NA
,,3/30/2012,NA,104.69,102.33,NA
,,4/2/2012,NA,104.71,102.41,NA
,,4/3/2012,NA,104.69,102.47,NA
,,4/4/2012,NA,104.71,102.4,NA
,,4/5/2012,NA,104.69,102.41,NA
,,4/6/2012,NA,104.69,102.41,NA
,,4/9/2012,NA,104.69,102.41,NA
,,4/10/2012,NA,104.58,102.47,NA
,,4/11/2012,NA,104.42,102.24,NA
