Bonds,,Date,XS0428461718,XS0282572956,XS0994991411,XS0951395317,XS0830194501,XS0994990280,XS1139315581,XS0418669429,XS1111559768,XS1693818525,XS0402228471,XS1048519679,XS0414313691,XS0410303647,XS1443997223,XS1443997819,XS1111559925
XS0428461718,,10/12/2011,104.92,102.68,NA,NA,NA,NA,NA,115.37,NA,NA,106.08,NA,103.74,111.48,NA,NA,NA
XS0282572956,,10/13/2011,105.19,102.74,NA,NA,NA,NA,NA,115.62,NA,NA,106.27,NA,103.87,111.99,NA,NA,NA
XS0994991411,,10/14/2011,105.08,102.59,NA,NA,NA,NA,NA,115.27,NA,NA,106.19,NA,103.78,111.6,NA,NA,NA
XS0951395317,,10/17/2011,105.27,102.61,NA,NA,NA,NA,NA,115.53,NA,NA,106.37,NA,104.01,112.28,NA,NA,NA
XS0830194501,,10/18/2011,105.44,102.69,NA,NA,NA,NA,NA,117.11,NA,NA,106.36,NA,104.08,112.84,NA,NA,NA
XS0994990280,,10/19/2011,105.25,102.76,NA,NA,NA,NA,NA,116.6,NA,NA,106.24,NA,104.11,112.66,NA,NA,NA
XS1139315581,,10/20/2011,105.32,102.82,NA,NA,NA,NA,NA,117.04,NA,NA,106.22,NA,104.08,112.9,NA,NA,NA
XS0418669429,,10/21/2011,105.26,102.81,NA,NA,NA,NA,NA,116.44,NA,NA,106.27,NA,104.15,112.82,NA,NA,NA
XS1111559768,,10/24/2011,105.4,102.9,NA,NA,NA,NA,NA,116.41,NA,NA,106.3,NA,104.15,113.1,NA,NA,NA
XS1693818525,,10/25/2011,105.56,102.82,NA,NA,NA,NA,NA,116.56,NA,NA,106.42,NA,104.22,113.54,NA,NA,NA
XS0402228471,,10/26/2011,105.94,102.85,NA,NA,NA,NA,NA,116.97,NA,NA,106.48,NA,104.33,114.02,NA,NA,NA
XS1048519679,,10/27/2011,105.79,102.65,NA,NA,NA,NA,NA,116.08,NA,NA,106.38,NA,104.3,113.41,NA,NA,NA
XS0414313691,,10/28/2011,105.75,102.88,NA,NA,NA,NA,NA,115.98,NA,NA,106.39,NA,104.29,113.48,NA,NA,NA
XS0410303647,,10/31/2011,106.01,102.98,NA,NA,NA,NA,NA,117.67,NA,NA,106.54,NA,104.45,114.45,NA,NA,NA
XS1443997223,,11/1/2011,106.53,103,NA,NA,NA,NA,NA,119.97,NA,NA,106.71,NA,104.66,115.86,NA,NA,NA
XS1443997819,,11/2/2011,106.4,103.06,NA,NA,NA,NA,NA,119.82,NA,NA,106.73,NA,104.61,115.56,NA,NA,NA
XS1111559925,,11/3/2011,106.38,102.97,NA,NA,NA,NA,NA,119.4,NA,NA,106.77,NA,104.66,115.2,NA,NA,NA
,,11/4/2011,106.49,103.06,NA,NA,NA,NA,NA,119.64,NA,NA,106.83,NA,104.71,115.74,NA,NA,NA
,,11/7/2011,106.62,102.98,NA,NA,NA,NA,NA,120.47,NA,NA,106.78,NA,104.76,116.09,NA,NA,NA
,,11/8/2011,106.6,102.99,NA,NA,NA,NA,NA,120.34,NA,NA,106.76,NA,104.73,115.97,NA,NA,NA
,,11/9/2011,106.68,102.98,NA,NA,NA,NA,NA,120.83,NA,NA,106.77,NA,104.76,116.13,NA,NA,NA
,,11/10/2011,106.62,102.98,NA,NA,NA,NA,NA,120.68,NA,NA,106.8,NA,104.79,115.96,NA,NA,NA
,,11/11/2011,106.56,103.03,NA,NA,NA,NA,NA,119.8,NA,NA,106.76,NA,104.73,115.38,NA,NA,NA
,,11/14/2011,106.75,103.26,NA,NA,NA,NA,NA,120.17,NA,NA,106.92,NA,104.84,115.87,NA,NA,NA
,,11/15/2011,106.84,103.26,NA,NA,NA,NA,NA,120.56,NA,NA,106.95,NA,104.9,115.9,NA,NA,NA
,,11/16/2011,106.6,103.2,NA,NA,NA,NA,NA,120.07,NA,NA,106.85,NA,104.72,115.42,NA,NA,NA
,,11/17/2011,106.41,103.13,NA,NA,NA,NA,NA,119.39,NA,NA,106.72,NA,104.58,114.87,NA,NA,NA
,,11/18/2011,106.08,103.07,NA,NA,NA,NA,NA,118.45,NA,NA,106.66,NA,104.49,114.31,NA,NA,NA
,,11/21/2011,106.3,103.09,NA,NA,NA,NA,NA,118.42,NA,NA,106.74,NA,104.51,114.49,NA,NA,NA
,,11/22/2011,106.25,103.1,NA,NA,NA,NA,NA,117.61,NA,NA,106.74,NA,104.36,114.26,NA,NA,NA
,,11/23/2011,105.86,103.09,NA,NA,NA,NA,NA,116.8,NA,NA,106.57,NA,104.2,113.41,NA,NA,NA
,,11/24/2011,105.7,103.01,NA,NA,NA,NA,NA,114.9,NA,NA,106.42,NA,103.93,112.49,NA,NA,NA
,,11/25/2011,105.58,103.02,NA,NA,NA,NA,NA,114.37,NA,NA,106.42,NA,103.99,112.13,NA,NA,NA
,,11/28/2011,105.64,103.13,NA,NA,NA,NA,NA,113.89,NA,NA,106.51,NA,104.08,111.78,NA,NA,NA
,,11/29/2011,105.55,103.06,NA,NA,NA,NA,NA,113.61,NA,NA,106.42,NA,104.03,111.61,NA,NA,NA
,,11/30/2011,105.94,103.13,NA,NA,NA,NA,NA,114.47,NA,NA,106.61,NA,104.25,112.01,NA,NA,NA
,,12/1/2011,106.23,103.13,NA,NA,NA,NA,NA,115.02,NA,NA,106.72,NA,104.37,112.52,NA,NA,NA
,,12/2/2011,106.31,103.1,NA,NA,NA,NA,NA,115.57,NA,NA,106.71,NA,104.39,112.62,NA,NA,NA
,,12/5/2011,106.2,103.13,NA,NA,NA,NA,NA,115.49,NA,NA,106.6,NA,104.3,112.5,NA,NA,NA
,,12/6/2011,106.15,103.11,NA,NA,NA,NA,NA,114.93,NA,NA,106.55,NA,104.29,112.44,NA,NA,NA
,,12/7/2011,106.34,103.13,NA,NA,NA,NA,NA,116.19,NA,NA,106.58,NA,104.32,112.94,NA,NA,NA
,,12/8/2011,106.5,103.15,NA,NA,NA,NA,NA,116.86,NA,NA,106.64,NA,104.37,113.52,NA,NA,NA
,,12/9/2011,106.3,103.11,NA,NA,NA,NA,NA,116.13,NA,NA,106.53,NA,104.26,113.03,NA,NA,NA
,,12/12/2011,106.53,103.1,NA,NA,NA,NA,NA,116.32,NA,NA,106.64,NA,104.34,113.47,NA,NA,NA
,,12/13/2011,106.52,103.09,NA,NA,NA,NA,NA,116.42,NA,NA,106.64,NA,104.31,113.48,NA,NA,NA
,,12/14/2011,106.54,103.06,NA,NA,NA,NA,NA,117.23,NA,NA,106.64,NA,104.27,113.85,NA,NA,NA
,,12/15/2011,106.38,103.05,NA,NA,NA,NA,NA,117.32,NA,NA,106.65,NA,104.27,113.74,NA,NA,NA
,,12/16/2011,106.46,103,NA,NA,NA,NA,NA,117.94,NA,NA,106.66,NA,104.3,113.95,NA,NA,NA
,,12/19/2011,106.5,103.13,NA,NA,NA,NA,NA,117.99,NA,NA,106.71,NA,104.31,113.84,NA,NA,NA
,,12/20/2011,106.48,103.13,NA,NA,NA,NA,NA,117.59,NA,NA,106.67,NA,104.24,113.45,NA,NA,NA
,,12/21/2011,106.41,103.14,NA,NA,NA,NA,NA,117.29,NA,NA,106.6,NA,104.19,113.56,NA,NA,NA
,,12/22/2011,106.37,103.11,NA,NA,NA,NA,NA,117.35,NA,NA,106.59,NA,104.15,113.62,NA,NA,NA
,,12/23/2011,106.38,103.06,NA,NA,NA,NA,NA,117.17,NA,NA,106.56,NA,104.18,113.71,NA,NA,NA
