Names,,Date,FR0010261396,FR0010033381,FR0011224963,FR0011048966,FR0010750489,FR0000474983,FR0010913780,FR0010745976,FR0010918490,FR0010206276,FR0010261388,FR0010474239,FR0000474975,FR0010397927,FR0010750497,FR0010745984
FR0010261396,,10/12/2011,99.83,106.32,NA,99.93,115.68,107.55,101.28,116.75,97.75,101.17,102.89,103.27,103.54,103.41,105.91,105.89
FR0010033381,,10/13/2011,99.94,106.43,NA,100.38,116.07,107.53,101.91,116.94,97.84,101.17,102.92,103.3,103.46,103.45,106.01,105.9
FR0011224963,,10/14/2011,99.87,106.08,NA,100.09,115.86,107.44,101.26,116.87,98.02,97.96,102.93,103.53,103.68,103.49,106.07,105.91
FR0011048966,,10/17/2011,100.01,106.36,NA,100.74,116.2,107.76,101.97,116.99,98,97.96,103.23,103.83,103.59,103.88,106.16,106.08
FR0010750489,,10/18/2011,101.04,107.72,NA,101.81,117.15,108.48,103.08,117.99,99.07,97.96,103.55,105.11,103.64,104.33,106.29,106.15
FR0000474983,,10/19/2011,100.86,106.87,NA,101.33,116.78,108.36,102.37,117.71,98.72,97.96,103.45,104.57,103.54,104.27,106.15,106.09
FR0010913780,,10/20/2011,100.87,107.15,NA,101.64,117.18,108.46,102.76,117.73,98.95,97.96,103.5,104.81,103.59,104.48,106.18,106.12
FR0010745976,,10/21/2011,100.92,106.92,NA,101.39,116.97,108.49,102.36,117.6,98.95,97.96,103.49,104.56,103.55,104.42,106.1,106.06
FR0010918490,,10/24/2011,101.23,106.63,NA,101.29,117,108.48,102.43,117.56,98.94,97.96,103.49,104.91,103.56,104.67,106.16,106.04
FR0010206276,,10/25/2011,101.37,107.17,NA,101.39,117.39,108.76,102.32,117.63,99.23,97.96,103.73,105.04,103.64,104.67,106.35,106.19
FR0010261388,,10/26/2011,102.12,107.69,NA,101.78,117.88,109.26,102.77,117.85,99.54,97.96,104.08,105.56,103.67,105.24,106.47,106.21
FR0010474239,,10/27/2011,101.73,106.22,NA,101.05,117.37,108.99,102.06,117.32,98.96,97.96,104,104.99,103.67,105.11,106.34,106.21
FR0000474975,,10/28/2011,101.89,106.03,NA,101.07,117.28,108.95,101.86,117.34,98.9,97.96,103.98,104.77,103.69,104.87,106.43,106.16
FR0010397927,,10/31/2011,102.47,107.56,NA,102.13,118.15,109.66,103.04,118.05,100.01,97.96,104.36,105.8,103.81,105.39,106.64,106.45
FR0010750497,,11/1/2011,103.45,109.4,NA,103.86,119.59,110.81,105.08,119.6,101.8,97.96,104.95,107.22,103.87,106.37,106.94,106.65
FR0010745984,,11/2/2011,103.44,109.07,NA,103.38,119.67,110.96,105.17,119.56,101.72,97.96,104.95,107.38,103.83,106.42,106.89,106.7
,,11/3/2011,103.46,108.49,NA,103.11,119.45,110.92,104.67,119.21,101.18,97.96,104.96,107.08,103.8,106.41,106.92,106.63
,,11/4/2011,103.65,108.67,NA,103.73,119.73,110.96,104.77,119.49,101.32,97.96,105.02,107.38,103.9,106.53,107.05,106.67
,,11/7/2011,104.03,109.85,NA,104.08,120.66,111.54,105.45,119.96,102.21,97.96,105.24,108.14,103.91,106.98,107.12,106.71
,,11/8/2011,104,110.19,NA,103.95,120.52,111.47,105.42,119.83,102.08,97.96,105.15,107.95,103.89,106.93,107.04,106.69
,,11/9/2011,103.97,111.11,NA,104.27,120.32,111.5,106.47,120.17,102.5,97.96,105.21,108.13,103.91,106.92,107.07,106.77
,,11/10/2011,103.29,110.37,NA,103.95,119.58,110.81,105.94,119.9,101.74,96.58,104.95,107.02,104.01,106.42,106.97,106.77
