Date,Volume
2013-01-02,5.0
2013-01-03,7.0
2013-01-04,0.0
2013-01-07,50.0
2013-01-08,20.0
2013-01-09,155.0
2013-01-10,102.0
2013-01-11,5.0
2013-01-14,120.0
2013-01-15,5.0
2013-01-16,117.0
2013-01-17,83.0
2013-01-18,3320.0
2013-01-21,572.0
2013-01-22,1647.0
2013-01-23,182.0
2013-01-24,1460.0
2013-01-25,125.0
2013-01-28,0.0
2013-01-29,1635.0
2013-01-30,8.0
2013-01-31,2175.0
2013-02-01,1366.0
2013-02-04,22.0
2013-02-05,1262.0
2013-02-06,216.0
2013-02-07,64.0
2013-02-08,328.0
2013-02-11,9.0
2013-02-12,0.0
2013-02-13,47.0
2013-02-14,41.0
2013-02-15,40.0
2013-02-18,31.0
2013-02-19,176.0
2013-02-20,63.0
2013-02-21,1145.0
2013-02-22,47.0
2013-02-25,25.0
2013-02-26,95.0
2013-02-27,2.0
2013-02-28,163.0
2013-03-01,461.0
2013-03-04,2.0
2013-03-05,375.0
2013-03-06,0.0
2013-03-07,63.0
2013-03-08,1.0
2013-03-11,190.0
2013-03-12,136.0
2013-03-13,221.0
2013-03-14,295.0
2013-03-15,72.0
2013-03-18,6016.0
2013-03-19,1002.0
2013-03-20,172.0
2013-03-21,13.0
2013-03-22,62.0
2013-03-25,57.0
2013-03-26,110.0
2013-03-27,515.0
2013-03-28,398.0
2013-03-29,0.0
2013-04-01,0.0
2013-04-02,180.0
2013-04-03,136.0
2013-04-04,35.0
2013-04-05,391.0
2013-04-08,68.0
2013-04-09,190.0
2013-04-10,1441.0
2013-04-11,32.0
2013-04-12,71.0
2013-04-15,160.0
2013-04-16,339.0
2013-04-17,943.0
2013-04-18,33.0
2013-04-19,4.0
2013-04-22,4.0
2013-04-23,115.0
2013-04-24,0.0
2013-04-25,63.0
2013-04-26,21.0
2013-04-29,85.0
2013-04-30,261.0
2013-05-01,4.0
2013-05-02,153.0
2013-05-03,441.0
2013-05-06,118.0
2013-05-07,87.0
2013-05-08,15.0
2013-05-09,27.0
2013-05-10,10.0
2013-05-13,162.0
2013-05-14,11.0
2013-05-15,61.0
2013-05-16,41.0
2013-05-17,164.0
2013-05-20,278.0
2013-05-21,714.0
2013-05-22,1774.0
2013-05-23,291.0
2013-05-24,2878.0
2013-05-27,577.0
2013-05-28,511.0
2013-05-29,601.0
2013-05-30,100.0
2013-05-31,2343.0
2013-06-03,876.0
2013-06-04,1716.0
2013-06-05,999.0
2013-06-06,4239.0
2013-06-07,1715.0
2013-06-10,2896.0
2013-06-11,4006.0
2013-06-12,3323.0
2013-06-13,14741.0
2013-06-14,2815.0
