Date,Price
2013-01-02,6.37
2013-01-03,6.2
2013-01-04,6.14
2013-01-07,6.46
2013-01-08,6.27
2013-01-09,6.02
2013-01-10,5.86
2013-01-11,5.72
2013-01-14,5.71
2013-01-15,5.88
2013-01-16,5.47
2013-01-17,5.44
2013-01-18,4.97
2013-01-21,4.81
2013-01-22,5.3
2013-01-23,4.52
2013-01-24,4.21
2013-01-25,4.0
2013-01-28,4.07
2013-01-29,3.88
2013-01-30,3.69
2013-01-31,3.32
2013-02-01,4.22
2013-02-04,4.2
2013-02-05,4.29
2013-02-06,4.06
2013-02-07,4.09
2013-02-08,4.43
2013-02-11,4.36
2013-02-12,4.46
2013-02-13,5.1
2013-02-14,5.12
2013-02-15,5.06
2013-02-18,4.99
2013-02-19,4.56
2013-02-20,4.86
2013-02-21,5.17
2013-02-22,5.06
2013-02-25,4.46
2013-02-26,4.2
2013-02-27,4.37
2013-02-28,4.8
2013-03-01,4.56
2013-03-04,4.53
2013-03-05,4.14
2013-03-06,4.19
2013-03-07,4.22
2013-03-08,4.18
2013-03-11,3.88
2013-03-12,3.66
2013-03-13,3.45
2013-03-14,3.62
2013-03-15,3.7
2013-03-18,3.48
2013-03-19,3.44
2013-03-20,3.9
2013-03-21,4.35
2013-03-22,4.08
2013-03-25,4.42
2013-03-26,4.55
2013-03-27,4.88
2013-03-28,4.74
2013-04-02,4.87
2013-04-03,4.85
2013-04-04,4.96
2013-04-05,5.11
2013-04-08,5.12
2013-04-09,4.71
2013-04-10,4.23
2013-04-11,4.28
2013-04-12,4.7
2013-04-15,4.68
2013-04-16,3.04
2013-04-17,2.7
2013-04-18,3.03
2013-04-19,3.12
2013-04-22,2.84
2013-04-23,3.04
2013-04-24,2.98
2013-04-25,2.93
2013-04-26,3.05
2013-04-29,3.27
2013-04-30,3.07
2013-05-01,2.87
2013-05-02,3.04
2013-05-03,3.73
2013-05-06,3.86
2013-05-07,3.69
2013-05-08,3.45
2013-05-09,3.74
2013-05-10,3.33
2013-05-13,3.22
2013-05-14,3.48
2013-05-15,3.59
2013-05-16,3.65
2013-05-17,3.49
2013-05-20,3.55
2013-05-21,3.5
2013-05-22,3.27
2013-05-23,3.35
2013-05-24,3.51
2013-05-27,3.45
2013-05-28,3.6
2013-05-29,3.7
2013-05-30,3.77
2013-05-31,3.9
2013-06-03,3.87
2013-06-04,3.91
2013-06-05,3.88
2013-06-06,3.96
2013-06-07,4.07
2013-06-10,4.0
2013-06-11,4.16
2013-06-12,4.46
2013-06-13,4.38
2013-06-14,4.74
2013-06-17,4.55
2013-06-18,4.67
2013-06-19,4.35
2013-06-20,4.4
2013-06-21,4.36
2013-06-24,4.09
2013-06-25,4.25
2013-06-26,4.39
2013-06-27,4.4
2013-06-28,4.18
2013-07-01,4.21
2013-07-02,4.26
2013-07-03,4.66
2013-07-04,4.53
2013-07-05,4.27
2013-07-08,4.22
2013-07-09,4.15
2013-07-10,4.03
2013-07-11,4.07
2013-07-12,4.02
2013-07-15,4.03
2013-07-16,4.1
2013-07-17,4.1
2013-07-18,4.1
2013-07-19,4.16
2013-07-22,4.18
2013-07-23,4.23
2013-07-24,4.27
2013-07-25,4.28
2013-07-26,4.3
2013-07-29,4.3
2013-07-30,4.26
2013-07-31,4.31
2013-08-01,4.32
2013-08-02,4.37
2013-08-05,4.4
2013-08-06,4.49
2013-08-07,4.43
2013-08-08,4.5
2013-08-09,4.43
2013-08-12,4.3
2013-08-13,4.28
2013-08-14,4.34
2013-08-15,4.34
2013-08-16,4.34
2013-08-19,4.31
2013-08-20,4.33
2013-08-21,4.35
2013-08-22,4.5
2013-08-23,4.42
2013-08-26,4.41
2013-08-27,4.53
2013-08-28,4.59
2013-08-29,4.58
2013-08-30,4.55
2013-09-02,4.49
2013-09-03,4.4
2013-09-04,4.54
2013-09-05,4.95
2013-09-06,5.3
2013-09-09,5.31
2013-09-10,5.13
2013-09-11,5.25
2013-09-12,5.61
2013-09-13,5.39
2013-09-16,5.46
