Date,Price
2013-01-02,6.425000000000001
2013-01-03,6.175000000000001
2013-01-04,6.14
2013-01-07,6.46
2013-01-08,6.27
2013-01-09,6.029999999999999
2013-01-10,5.9
2013-01-11,5.72
2013-01-14,5.705
2013-01-15,5.88
2013-01-16,5.47
2013-01-17,5.44
2013-01-18,4.97
2013-01-21,4.775
2013-01-22,5.3
2013-01-23,4.76
2013-01-24,4.154999999999999
2013-01-25,4.0
2013-01-28,4.07
2013-01-29,3.88
2013-01-30,3.7649999999999997
2013-01-31,3.385
2013-02-01,3.815
2013-02-04,4.225
2013-02-05,4.265000000000001
2013-02-06,4.3
2013-02-07,4.135
2013-02-08,4.4
2013-02-11,4.305
2013-02-12,4.505
2013-02-13,4.85
2013-02-14,5.115
2013-02-15,5.07
2013-02-18,5.165
2013-02-19,4.63
2013-02-20,4.78
2013-02-21,4.96
2013-02-22,5.05
2013-02-25,4.46
2013-02-26,4.2
2013-02-27,4.32
2013-02-28,4.574999999999999
2013-03-01,4.654999999999999
2013-03-04,4.57
2013-03-05,4.29
2013-03-06,4.27
2013-03-07,4.18
2013-03-08,4.119999999999999
2013-03-11,3.965
2013-03-12,3.755
2013-03-13,3.56
2013-03-14,3.5250000000000004
2013-03-15,3.63
2013-03-18,3.51
2013-03-19,3.42
2013-03-20,3.77
2013-03-21,4.199999999999999
2013-03-22,4.245
2013-03-25,4.41
2013-03-26,4.595
2013-03-27,4.845
2013-03-28,4.79
2013-04-02,4.87
2013-04-03,4.88
2013-04-04,4.970000000000001
2013-04-05,5.11
2013-04-08,5.08
2013-04-09,4.875
2013-04-10,4.455
2013-04-11,4.29
2013-04-12,4.609999999999999
2013-04-15,4.74
2013-04-16,3.855
2013-04-17,2.83
2013-04-18,2.925
2013-04-19,3.18
2013-04-22,2.835
2013-04-23,2.9050000000000002
2013-04-24,3.0
2013-04-25,2.9000000000000004
2013-04-26,2.95
2013-04-29,3.25
2013-04-30,3.1399999999999997
2013-05-01,2.975
2013-05-02,2.99
2013-05-03,3.35
2013-05-06,3.755
2013-05-07,3.7199999999999998
2013-05-08,3.5250000000000004
2013-05-09,3.675
2013-05-10,3.49
2013-05-13,3.255
2013-05-14,3.365
2013-05-15,3.5149999999999997
2013-05-16,3.585
2013-05-17,3.555
2013-05-20,3.49
2013-05-21,3.505
2013-05-22,3.365
2013-05-23,3.2800000000000002
2013-05-24,3.385
2013-05-27,3.41
2013-05-28,3.54
2013-05-29,3.665
2013-05-30,3.715
2013-05-31,3.9050000000000002
2013-06-03,3.885
2013-06-04,3.865
2013-06-05,3.91
2013-06-06,3.9050000000000002
2013-06-07,4.035
2013-06-10,4.0649999999999995
2013-06-11,4.08
2013-06-12,4.325
2013-06-13,4.415
2013-06-14,4.595000000000001
2013-06-17,4.65
2013-06-18,4.609999999999999
2013-06-19,4.52
2013-06-20,4.41
2013-06-21,4.355
2013-06-24,4.205
2013-06-25,4.154999999999999
2013-06-26,4.345
2013-06-27,4.395
2013-06-28,4.26
2013-07-01,4.215
2013-07-02,4.225
2013-07-03,4.390000000000001
2013-07-04,4.57
2013-07-05,4.355
2013-07-08,4.25
2013-07-09,4.18
2013-07-10,4.050000000000001
2013-07-11,4.075
2013-07-12,4.045
2013-07-15,4.02
2013-07-16,4.13
2013-07-17,4.109999999999999
2013-07-18,4.109999999999999
2013-07-19,4.145
2013-07-22,4.175
2013-07-23,4.23
2013-07-24,4.25
2013-07-25,4.27
2013-07-26,4.285
2013-07-29,4.3
2013-07-30,4.295
2013-07-31,4.265
2013-08-01,4.335
2013-08-02,4.34
2013-08-05,4.4
2013-08-06,4.46
2013-08-07,4.47
2013-08-08,4.455
2013-08-09,4.465
2013-08-12,4.385
2013-08-13,4.285
2013-08-14,4.34
2013-08-15,4.359999999999999
2013-08-16,4.34
2013-08-19,4.32
2013-08-20,4.295
2013-08-21,4.35
2013-08-22,4.425
2013-08-23,4.475
2013-08-26,4.42
2013-08-27,4.505000000000001
2013-08-28,4.59
2013-08-29,4.57
2013-08-30,4.555
2013-09-02,4.5
2013-09-03,4.425000000000001
2013-09-04,4.475
2013-09-05,4.76
2013-09-06,5.175
2013-09-09,5.3
2013-09-10,5.1850000000000005
2013-09-11,5.13
2013-09-12,5.465
2013-09-13,5.42
2013-09-16,5.42
2013-09-17,5.5600000000000005
2013-09-18,5.605
2013-09-19,5.4
2013-09-20,5.345
2013-09-23,5.355
2013-09-24,5.405
2013-09-25,5.375
2013-09-26,5.43
2013-09-27,5.425000000000001
2013-09-30,5.15
2013-10-01,5.074999999999999
2013-10-02,5.24
2013-10-03,5.205
2013-10-04,5.12
2013-10-07,5.03
2013-10-08,4.9
2013-10-09,4.734999999999999
