Date,Volume,Price,Expiry
2013-01-02,5848.0,6.57,2013-12-16
2013-01-03,16992.0,6.4,2013-12-16
2013-01-04,6251.0,6.34,2013-12-16
2013-01-07,10879.0,6.66,2013-12-16
2013-01-08,15954.0,6.47,2013-12-16
2013-01-09,18231.0,6.21,2013-12-16
2013-01-10,13133.0,6.05,2013-12-16
2013-01-11,17091.0,5.92,2013-12-16
2013-01-14,13707.0,5.9,2013-12-16
2013-01-15,14595.0,6.07,2013-12-16
2013-01-16,20203.0,5.65,2013-12-16
2013-01-17,19069.0,5.61,2013-12-16
2013-01-18,24189.0,5.11,2013-12-16
2013-01-21,22492.0,4.95,2013-12-16
2013-01-22,28410.0,5.45,2013-12-16
2013-01-23,26426.0,4.65,2013-12-16
2013-01-24,35274.0,4.33,2013-12-16
2013-01-25,31554.0,4.11,2013-12-16
2013-01-28,14261.0,4.18,2013-12-16
2013-01-29,20899.0,3.99,2013-12-16
2013-01-30,20574.0,3.8,2013-12-16
2013-01-31,22492.0,3.42,2013-12-16
2013-02-01,35982.0,4.34,2013-12-16
2013-02-04,30797.0,4.32,2013-12-16
2013-02-05,29549.0,4.42,2013-12-16
2013-02-06,34774.0,4.18,2013-12-16
2013-02-07,34032.0,4.2,2013-12-16
2013-02-08,30135.0,4.55,2013-12-16
2013-02-11,21046.0,4.48,2013-12-16
2013-02-12,22170.0,4.58,2013-12-16
2013-02-13,43579.0,5.23,2013-12-16
2013-02-14,23960.0,5.25,2013-12-16
2013-02-15,18068.0,5.19,2013-12-16
2013-02-18,30092.0,5.12,2013-12-16
2013-02-19,55730.0,4.68,2013-12-16
2013-02-20,24664.0,4.98,2013-12-16
2013-02-21,33766.0,5.3,2013-12-16
2013-02-22,27840.0,5.19,2013-12-16
2013-02-25,23843.0,4.57,2013-12-16
2013-02-26,21924.0,4.3,2013-12-16
2013-02-27,15056.0,4.47,2013-12-16
2013-02-28,20199.0,4.9,2013-12-16
2013-03-01,23875.0,4.67,2013-12-16
2013-03-04,10884.0,4.63,2013-12-16
2013-03-05,19569.0,4.23,2013-12-16
2013-03-06,19597.0,4.28,2013-12-16
2013-03-07,13722.0,4.32,2013-12-16
2013-03-08,12389.0,4.26,2013-12-16
2013-03-11,21551.0,3.95,2013-12-16
2013-03-12,39057.0,3.73,2013-12-16
2013-03-13,24934.0,3.52,2013-12-16
2013-03-14,33113.0,3.7,2013-12-16
2013-03-15,24915.0,3.78,2013-12-16
2013-03-18,20336.0,3.55,2013-12-16
2013-03-19,15056.0,3.51,2013-12-16
2013-03-20,26846.0,3.97,2013-12-16
2013-03-21,33467.0,4.42,2013-12-16
2013-03-22,17761.0,4.15,2013-12-16
2013-03-25,15947.0,4.49,2013-12-16
2013-03-26,22046.0,4.62,2013-12-16
2013-03-27,25168.0,4.95,2013-12-16
2013-03-28,22911.0,4.81,2013-12-16
2013-04-02,14142.0,4.94,2013-12-16
2013-04-03,17314.0,4.92,2013-12-16
2013-04-04,14959.0,5.04,2013-12-16
2013-04-05,17020.0,5.19,2013-12-16
2013-04-08,12655.0,5.2,2013-12-16
2013-04-09,29261.0,4.78,2013-12-16
2013-04-10,31311.0,4.3,2013-12-16
2013-04-11,17741.0,4.35,2013-12-16
2013-04-12,18985.0,4.77,2013-12-16
2013-04-15,15390.0,4.76,2013-12-16
2013-04-16,82526.0,3.09,2013-12-16
2013-04-17,47769.0,2.75,2013-12-16
2013-04-18,30293.0,3.07,2013-12-16
2013-04-19,18140.0,3.16,2013-12-16
2013-04-22,15250.0,2.89,2013-12-16
2013-04-23,26033.0,3.08,2013-12-16
2013-04-24,15104.0,3.02,2013-12-16
2013-04-25,24975.0,2.97,2013-12-16
2013-04-26,13581.0,3.11,2013-12-16
2013-04-29,10530.0,3.32,2013-12-16
2013-04-30,21840.0,3.12,2013-12-16
2013-05-01,10112.0,2.91,2013-12-16
2013-05-02,13035.0,3.09,2013-12-16
2013-05-03,27012.0,3.78,2013-12-16
2013-05-06,7712.0,3.91,2013-12-16
2013-05-07,19470.0,3.74,2013-12-16
2013-05-08,16535.0,3.49,2013-12-16
2013-05-09,9771.0,3.79,2013-12-16
2013-05-10,12827.0,3.38,2013-12-16
2013-05-13,15361.0,3.27,2013-12-16
2013-05-14,12900.0,3.52,2013-12-16
2013-05-15,13898.0,3.64,2013-12-16
2013-05-16,14263.0,3.7,2013-12-16
2013-05-17,12505.0,3.54,2013-12-16
2013-05-20,5716.0,3.6,2013-12-16
2013-05-21,12815.0,3.56,2013-12-16
2013-05-22,20405.0,3.32,2013-12-16
2013-05-23,14962.0,3.4,2013-12-16
2013-05-24,21245.0,3.56,2013-12-16
2013-05-27,6035.0,3.5,2013-12-16
2013-05-28,9096.0,3.65,2013-12-16
2013-05-29,13791.0,3.75,2013-12-16
2013-05-30,8779.0,3.82,2013-12-16
2013-05-31,23652.0,3.95,2013-12-16
2013-06-03,14243.0,3.92,2013-12-16
2013-06-04,19052.0,3.96,2013-12-16
2013-06-05,14942.0,3.91,2013-12-16
2013-06-06,19061.0,4.0,2013-12-16
2013-06-07,21524.0,4.12,2013-12-16
2013-06-10,21544.0,4.04,2013-12-16
2013-06-11,22430.0,4.2,2013-12-16
2013-06-12,21935.0,4.5,2013-12-16
2013-06-13,39787.0,4.41,2013-12-16
2013-06-14,26190.0,4.77,2013-12-16
2013-06-17,15584.0,4.58,2013-12-16
2013-06-18,29159.0,4.7,2013-12-16
2013-06-19,29500.0,4.39,2013-12-16
2013-06-20,23420.0,4.43,2013-12-16
2013-06-21,15687.0,4.38,2013-12-16
2013-06-24,20297.0,4.12,2013-12-16
2013-06-25,26818.0,4.28,2013-12-16
2013-06-26,10493.0,4.42,2013-12-16
2013-06-27,11912.0,4.43,2013-12-16
2013-06-28,13086.0,4.21,2013-12-16
2013-07-01,9501.0,4.24,2013-12-16
2013-07-02,15040.0,4.29,2013-12-16
2013-07-03,56013.0,4.69,2013-12-16
2013-07-04,9823.0,4.55,2013-12-16
2013-07-05,11459.0,4.29,2013-12-16
2013-07-08,14192.0,4.24,2013-12-16
2013-07-09,16092.0,4.17,2013-12-16
2013-07-10,12786.0,4.05,2013-12-16
2013-07-11,11204.0,4.09,2013-12-16
2013-07-12,10122.0,4.04,2013-12-16
2013-07-15,8857.0,4.05,2013-12-16
2013-07-16,13849.0,4.13,2013-12-16
2013-07-17,8177.0,4.13,2013-12-16
2013-07-18,8101.0,4.13,2013-12-16
2013-07-19,11867.0,4.19,2013-12-16
2013-07-22,9378.0,4.21,2013-12-16
2013-07-23,10394.0,4.26,2013-12-16
2013-07-24,23270.0,4.3,2013-12-16
2013-07-25,9899.0,4.3,2013-12-16
2013-07-26,8885.0,4.33,2013-12-16
2013-07-29,10965.0,4.33,2013-12-16
2013-07-30,12006.0,4.29,2013-12-16
2013-07-31,14577.0,4.34,2013-12-16
2013-08-01,10457.0,4.35,2013-12-16
