Date,Volume,Price,Expiry
2013-01-02,324.0,7.19,2013-12-16
2013-01-03,371.0,7.01,2013-12-16
2013-01-04,566.0,6.93,2013-12-16
2013-01-07,657.0,7.27,2013-12-16
2013-01-08,559.0,7.08,2013-12-16
2013-01-09,481.0,6.8,2013-12-16
2013-01-10,757.0,6.63,2013-12-16
2013-01-11,1416.0,6.48,2013-12-16
2013-01-14,1694.0,6.46,2013-12-16
2013-01-15,944.0,6.64,2013-12-16
2013-01-16,2425.0,6.18,2013-12-16
2013-01-17,2687.0,6.14,2013-12-16
2013-01-18,2220.0,5.6,2013-12-16
2013-01-21,2454.0,5.43,2013-12-16
2013-01-22,2879.0,5.94,2013-12-16
2013-01-23,2160.0,5.1,2013-12-16
2013-01-24,2604.0,4.74,2013-12-16
2013-01-25,7723.0,4.51,2013-12-16
2013-01-28,2495.0,4.59,2013-12-16
2013-01-29,2511.0,4.4,2013-12-16
2013-01-30,1014.0,4.2,2013-12-16
2013-01-31,2706.0,3.78,2013-12-16
2013-02-01,2355.0,4.75,2013-12-16
2013-02-04,7658.0,4.74,2013-12-16
2013-02-05,4097.0,4.85,2013-12-16
2013-02-06,3654.0,4.59,2013-12-16
2013-02-07,1764.0,4.61,2013-12-16
2013-02-08,1072.0,4.98,2013-12-16
2013-02-11,853.0,4.9,2013-12-16
2013-02-12,3691.0,5.02,2013-12-16
2013-02-13,14769.0,5.72,2013-12-16
2013-02-14,1076.0,5.73,2013-12-16
2013-02-15,1713.0,5.68,2013-12-16
2013-02-18,2418.0,5.61,2013-12-16
2013-02-19,1898.0,5.12,2013-12-16
2013-02-20,1418.0,5.44,2013-12-16
2013-02-21,2209.0,5.77,2013-12-16
2013-02-22,502.0,5.66,2013-12-16
2013-02-25,2467.0,4.99,2013-12-16
2013-02-26,1132.0,4.7,2013-12-16
2013-02-27,1127.0,4.89,2013-12-16
2013-02-28,1317.0,5.33,2013-12-16
2013-03-01,1956.0,5.1,2013-12-16
2013-03-04,781.0,5.06,2013-12-16
2013-03-05,2389.0,4.63,2013-12-16
2013-03-06,1708.0,4.68,2013-12-16
2013-03-07,1268.0,4.72,2013-12-16
2013-03-08,1268.0,4.66,2013-12-16
2013-03-11,2266.0,4.33,2013-12-16
2013-03-12,2298.0,4.08,2013-12-16
