Date,Volume,Price,Expiry
2013-01-02,5848.0,6.68,2013-12-16
2013-01-03,16992.0,6.49,2013-12-16
2013-01-04,6251.0,6.37,2013-12-16
2013-01-07,10879.0,6.470000000000001,2013-12-16
2013-01-08,15954.0,6.5600000000000005,2013-12-16
2013-01-09,18231.0,6.33,2013-12-16
2013-01-10,13133.0,6.145,2013-12-16
2013-01-11,17091.0,5.975,2013-12-16
2013-01-14,13707.0,5.875,2013-12-16
2013-01-15,14595.0,6.0,2013-12-16
2013-01-16,20203.0,5.85,2013-12-16
2013-01-17,19069.0,5.665,2013-12-16
2013-01-18,24189.0,5.390000000000001,2013-12-16
2013-01-21,22492.0,5.07,2013-12-16
2013-01-22,28410.0,5.205,2013-12-16
2013-01-23,26426.0,5.07,2013-12-16
2013-01-24,35274.0,4.465,2013-12-16
2013-01-25,31554.0,4.23,2013-12-16
2013-01-28,14261.0,4.1899999999999995,2013-12-16
2013-01-29,20899.0,4.0649999999999995,2013-12-16
2013-01-30,20574.0,3.9,2013-12-16
2013-01-31,22492.0,3.5999999999999996,2013-12-16
2013-02-01,35982.0,3.915,2013-12-16
2013-02-04,30797.0,4.305,2013-12-16
2013-02-05,29549.0,4.359999999999999,2013-12-16
2013-02-06,34774.0,4.3,2013-12-16
2013-02-07,34032.0,4.1899999999999995,2013-12-16
2013-02-08,30135.0,4.425,2013-12-16
2013-02-11,21046.0,4.515000000000001,2013-12-16
2013-02-12,22170.0,4.525,2013-12-16
2013-02-13,43579.0,4.890000000000001,2013-12-16
2013-02-14,23960.0,5.225,2013-12-16
2013-02-15,18068.0,5.210000000000001,2013-12-16
2013-02-18,30092.0,5.195,2013-12-16
2013-02-19,55730.0,4.904999999999999,2013-12-16
2013-02-20,24664.0,4.845000000000001,2013-12-16
2013-02-21,33766.0,5.12,2013-12-16
2013-02-22,27840.0,5.2,2013-12-16
2013-02-25,23843.0,4.890000000000001,2013-12-16
2013-02-26,21924.0,4.375,2013-12-16
2013-02-27,15056.0,4.38,2013-12-16
2013-02-28,20199.0,4.67,2013-12-16
2013-03-01,23875.0,4.76,2013-12-16
2013-03-04,10884.0,4.615,2013-12-16
2013-03-05,19569.0,4.405,2013-12-16
2013-03-06,19597.0,4.29,2013-12-16
2013-03-07,13722.0,4.285,2013-12-16
2013-03-08,12389.0,4.279999999999999,2013-12-16
2013-03-11,21551.0,4.12,2013-12-16
2013-03-12,39057.0,3.855,2013-12-16
2013-03-13,24934.0,3.6,2013-12-16
2013-03-14,33113.0,3.6100000000000003,2013-12-16
2013-03-15,24915.0,3.74,2013-12-16
2013-03-18,20336.0,3.63,2013-12-16
2013-03-19,15056.0,3.495,2013-12-16
2013-03-20,26846.0,3.725,2013-12-16
2013-03-21,33467.0,4.225,2013-12-16
2013-03-22,17761.0,4.245,2013-12-16
2013-03-25,15947.0,4.390000000000001,2013-12-16
2013-03-26,22046.0,4.54,2013-12-16
2013-03-27,25168.0,4.775,2013-12-16
2013-03-28,22911.0,4.84,2013-12-16
2013-04-02,14142.0,4.845000000000001,2013-12-16
2013-04-03,17314.0,4.97,2013-12-16
2013-04-04,14959.0,4.984999999999999,2013-12-16
2013-04-05,17020.0,5.095000000000001,2013-12-16
2013-04-08,12655.0,5.220000000000001,2013-12-16
2013-04-09,29261.0,5.01,2013-12-16
2013-04-10,31311.0,4.57,2013-12-16
2013-04-11,17741.0,4.375,2013-12-16
2013-04-12,18985.0,4.56,2013-12-16
2013-04-15,15390.0,4.75,2013-12-16
2013-04-16,82526.0,3.94,2013-12-16
2013-04-17,47769.0,2.935,2013-12-16
2013-04-18,30293.0,2.885,2013-12-16
2013-04-19,18140.0,3.1550000000000002,2013-12-16
2013-04-22,15250.0,2.9699999999999998,2013-12-16
2013-04-23,26033.0,2.95,2013-12-16
2013-04-24,15104.0,3.08,2013-12-16
2013-04-25,24975.0,2.9850000000000003,2013-12-16
2013-04-26,13581.0,3.0549999999999997,2013-12-16
2013-04-29,10530.0,3.1849999999999996,2013-12-16
2013-04-30,21840.0,3.21,2013-12-16
2013-05-01,10112.0,2.98,2013-12-16
2013-05-02,13035.0,3.02,2013-12-16
2013-05-03,27012.0,3.415,2013-12-16
2013-05-06,7712.0,3.7800000000000002,2013-12-16
2013-05-07,19470.0,3.795,2013-12-16
2013-05-08,16535.0,3.595,2013-12-16
2013-05-09,9771.0,3.6799999999999997,2013-12-16
2013-05-10,12827.0,3.59,2013-12-16
2013-05-13,15361.0,3.3600000000000003,2013-12-16
