Date,Volume
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-07,5.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-14,5.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,5.0
2013-01-18,1.0
2013-01-21,5.0
2013-01-22,3.0
2013-01-23,11.0
2013-01-24,114.0
2013-01-25,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,101.0
2013-02-04,2.0
2013-02-05,750.0
2013-02-06,42.0
2013-02-07,4.0
2013-02-08,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,4.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,24.0
2013-03-01,5.0
2013-03-04,0.0
2013-03-05,0.0
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-11,6.0
2013-03-12,69.0
2013-03-13,5.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-18,25.0
2013-03-19,14.0
2013-03-20,10.0
2013-03-21,13.0
2013-03-22,5.0
2013-03-25,0.0
2013-03-26,3.0
2013-03-27,12.0
2013-03-28,9.0
2013-03-29,0.0
2013-04-01,0.0
2013-04-02,5.0
2013-04-03,20.0
2013-04-04,10.0
2013-04-05,0.0
2013-04-08,0.0
2013-04-09,55.0
2013-04-10,6.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-15,0.0
2013-04-16,94.0
2013-04-17,26.0
2013-04-18,0.0
2013-04-19,1.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,5.0
2013-04-25,60.0
2013-04-26,0.0
2013-04-29,0.0
2013-04-30,10.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,51.0
2013-05-06,7.0
2013-05-07,2.0
2013-05-08,18.0
2013-05-09,0.0
2013-05-10,15.0
2013-05-13,6.0
2013-05-14,0.0
2013-05-15,1.0
2013-05-16,7.0
2013-05-17,34.0
2013-05-20,9.0
2013-05-21,27.0
2013-05-22,2.0
2013-05-23,0.0
2013-05-24,15.0
2013-05-27,0.0
2013-05-28,1.0
2013-05-29,17.0
2013-05-30,0.0
2013-05-31,32.0
2013-06-03,106.0
2013-06-04,101.0
2013-06-05,2.0
2013-06-06,34.0
2013-06-07,92.0
2013-06-10,39.0
2013-06-11,15.0
2013-06-12,0.0
2013-06-13,235.0
2013-06-14,0.0
2013-06-17,0.0
2013-06-18,7.0
2013-06-19,12.0
2013-06-20,9.0
2013-06-21,64.0
2013-06-24,34.0
2013-06-25,22.0
2013-06-26,3.0
2013-06-27,27.0
2013-06-28,0.0
2013-07-01,0.0
2013-07-02,7.0
2013-07-03,86.0
2013-07-04,6.0
2013-07-05,14.0
2013-07-08,5.0
2013-07-09,0.0
2013-07-10,5.0
2013-07-11,24.0
2013-07-12,2.0
2013-07-15,5.0
2013-07-16,50.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,1.0
2013-07-22,20.0
2013-07-23,67.0
2013-07-24,51.0
2013-07-25,50.0
2013-07-26,0.0
2013-07-29,83.0
2013-07-30,75.0
2013-07-31,55.0
2013-08-01,91.0
2013-08-02,25.0
2013-08-05,5.0
2013-08-06,1.0
2013-08-07,18.0
2013-08-08,25.0
2013-08-09,10.0
2013-08-12,5.0
2013-08-13,169.0
2013-08-14,0.0
2013-08-15,10.0
2013-08-16,55.0
2013-08-19,1.0
2013-08-20,10.0
2013-08-21,18.0
2013-08-22,19.0
2013-08-23,24.0
2013-08-26,400.0
2013-08-27,673.0
2013-08-28,858.0
2013-08-29,494.0
2013-08-30,682.0
2013-09-02,345.0
2013-09-03,670.0
2013-09-04,600.0
2013-09-05,130.0
2013-09-06,41.0
2013-09-09,566.0
2013-09-10,896.0
2013-09-11,408.0
2013-09-12,671.0
2013-09-13,733.0
2013-09-16,505.0
2013-09-17,670.0
2013-09-18,523.0
2013-09-19,490.0
2013-09-20,702.0
2013-09-23,3073.0
2013-09-24,426.0
2013-09-25,347.0
2013-09-26,351.0
2013-09-27,10154.0
2013-09-30,1811.0
2013-10-01,0.0
2013-10-02,0.0
2013-10-03,0.0
2013-10-04,0.0
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,2.0
2013-10-28,6.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,14.0
2013-11-01,5.0
2013-11-04,0.0
2013-11-05,109.0
2013-11-06,0.0
2013-11-07,227.0
2013-11-08,0.0
2013-11-11,11.0
2013-11-12,0.0
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-18,0.0
2013-11-19,3.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,0.0
2013-11-25,30.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,0.0
2013-12-09,0.0
2013-12-10,6.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-16,34.0
2013-12-17,1.0
2013-12-18,0.0
2013-12-19,25.0
2013-12-20,12.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,20.0
2014-01-10,0.0
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,35.0
2014-01-17,0.0
2014-01-20,0.0
2014-01-21,11.0
2014-01-22,51.0
2014-01-23,113.0
2014-01-24,1.0
2014-01-27,3.0
2014-01-28,54.0
2014-01-29,88.0
2014-01-30,3.0
2014-01-31,0.0
2014-02-03,11.0
2014-02-04,20.0
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-10,6.0
2014-02-11,165.0
2014-02-12,45.0
2014-02-13,20.0
2014-02-14,0.0
2014-02-17,25.0
2014-02-18,10.0
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,0.0
2014-02-25,73.0
2014-02-26,78.0
2014-02-27,0.0
2014-02-28,51.0
2014-03-03,67.0
2014-03-04,111.0
2014-03-05,0.0
2014-03-06,0.0
2014-03-07,27.0
2014-03-10,0.0
2014-03-11,82.0
2014-03-12,101.0
2014-03-13,47.0
2014-03-14,15.0
2014-03-17,0.0
2014-03-18,40.0
2014-03-19,40.0
2014-03-20,0.0
2014-03-21,45.0
2014-03-24,78.0
2014-03-25,1.0
2014-03-26,3.0
2014-03-27,92.0
2014-03-28,28.0
2014-03-31,8.0
2014-04-01,122.0
2014-04-02,5.0
2014-04-03,9.0
2014-04-04,7.0
2014-04-07,0.0
2014-04-08,2.0
2014-04-09,0.0
2014-04-10,45.0
2014-04-11,0.0
2014-04-14,55.0
2014-04-15,0.0
2014-04-16,0.0
2014-04-17,5.0
2014-04-18,0.0
2014-04-21,0.0
2014-04-22,14.0
2014-04-23,0.0
2014-04-24,55.0
2014-04-25,123.0
2014-04-28,48.0
2014-04-29,0.0
2014-04-30,12.0
2014-05-01,3.0
2014-05-02,0.0
2014-05-05,0.0
2014-05-06,84.0
2014-05-07,22.0
2014-05-08,0.0
2014-05-09,5.0
2014-05-12,0.0
2014-05-13,40.0
2014-05-14,1.0
2014-05-15,88.0
2014-05-16,20.0
2014-05-19,18.0
2014-05-20,21.0
2014-05-21,35.0
2014-05-22,7.0
2014-05-23,0.0
2014-05-26,45.0
2014-05-27,25.0
2014-05-28,41.0
2014-05-29,0.0
2014-05-30,0.0
2014-06-02,17.0
2014-06-03,4.0
2014-06-04,0.0
2014-06-05,2.0
2014-06-06,20.0
2014-06-09,0.0
2014-06-10,55.0
2014-06-11,22.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,63.0
2014-06-19,260.0
2014-06-20,0.0
2014-06-23,33.0
2014-06-24,67.0
2014-06-25,111.0
2014-06-26,128.0
2014-06-27,20.0
2014-06-30,128.0
2014-07-01,0.0
2014-07-02,25.0
2014-07-03,20.0
2014-07-04,215.0
2014-07-07,65.0
2014-07-08,0.0
2014-07-09,15.0
2014-07-10,61.0
2014-07-11,60.0
2014-07-14,2.0
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,62.0
2014-07-18,50.0
2014-07-21,0.0
2014-07-22,15.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,60.0
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,1.0
2014-08-01,23.0
2014-08-04,12.0
2014-08-05,49.0
2014-08-06,20.0
2014-08-07,2.0
2014-08-08,72.0
2014-08-11,15.0
2014-08-12,2554.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,23.0
2014-08-18,0.0
2014-08-19,29.0
2014-08-20,31.0
2014-08-21,20.0
2014-08-22,38.0
2014-08-25,31.0
2014-08-26,91.0
2014-08-27,69.0
2014-08-28,80.0
2014-08-29,32.0
2014-09-01,28.0
2014-09-02,65.0
2014-09-03,5.0
2014-09-04,4890.0
2014-09-05,40.0
2014-09-08,124.0
2014-09-09,71.0
2014-09-10,40.0
2014-09-11,25.0
2014-09-12,52.0
2014-09-15,164.0
2014-09-16,76.0
2014-09-17,99.0
2014-09-18,197.0
2014-09-19,197.0
2014-09-22,47.0
2014-09-23,23.0
2014-09-24,185.0
2014-09-25,202.0
2014-09-26,7.0
2014-09-29,2060.0
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,0.0
2014-10-06,0.0
2014-10-07,0.0
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-20,0.0
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,0.0
2014-11-07,0.0
2014-11-10,0.0
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,0.0
2014-11-14,0.0
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,0.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,0.0
2014-12-01,0.0
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,0.0
2014-12-05,0.0
2014-12-08,0.0
2014-12-09,0.0
2014-12-10,0.0
2014-12-11,0.0
2014-12-12,0.0
2014-12-15,0.0
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,25.0
2014-12-19,0.0
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,0.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-01,0.0
2015-01-02,0.0
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,0.0
2015-01-19,5.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-22,50.0
2015-01-23,40.0
2015-01-26,45.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,52.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-23,0.0
2015-02-24,50.0
2015-02-25,40.0
2015-02-26,45.0
2015-02-27,29.0
2015-03-02,1.0
2015-03-03,0.0
2015-03-04,69.0
2015-03-05,43.0
2015-03-06,50.0
2015-03-09,0.0
2015-03-10,30.0
2015-03-11,0.0
2015-03-12,30.0
2015-03-13,0.0
2015-03-16,30.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,32.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,12.0
2015-03-25,35.0
2015-03-26,30.0
2015-03-27,0.0
2015-03-30,15.0
2015-03-31,81.0
2015-04-01,12.0
2015-04-02,25.0
2015-04-03,0.0
2015-04-06,0.0
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-13,0.0
2015-04-14,6.0
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-20,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,65.0
2015-05-01,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,40.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,0.0
2015-05-15,1.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,40.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,41.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-22,20.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,0.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-13,140.0
2015-07-14,50.0
2015-07-15,10.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-20,200.0
2015-07-21,114.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,33.0
2015-07-31,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-10,50.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,6.0
2015-08-20,1.0
2015-08-21,41.0
2015-08-24,1.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,136.0
2015-08-28,20.0
2015-08-31,0.0
2015-09-01,100.0
2015-09-02,21.0
2015-09-03,10.0
2015-09-04,0.0
2015-09-07,0.0
2015-09-08,5.0
2015-09-09,5.0
2015-09-10,6.0
2015-09-11,154.0
2015-09-14,40.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,5.0
2015-09-21,15.0
2015-09-22,70.0
2015-09-23,0.0
2015-09-24,170.0
2015-09-25,464.0
2015-09-28,578.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-05,0.0
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,1.0
2016-01-08,0.0
2016-01-11,20.0
2016-01-12,0.0
2016-01-13,0.0
