Date,Volume,Price,Expiry
2013-01-02,1353.0,6.87,2014-12-15
2013-01-03,1128.0,6.7,2014-12-15
2013-01-04,1045.0,6.63,2014-12-15
2013-01-07,1084.0,6.96,2014-12-15
2013-01-08,2594.0,6.77,2014-12-15
2013-01-09,2149.0,6.5,2014-12-15
2013-01-10,1366.0,6.33,2014-12-15
2013-01-11,2217.0,6.2,2014-12-15
2013-01-14,3292.0,6.18,2014-12-15
2013-01-15,1511.0,6.35,2014-12-15
2013-01-16,3183.0,5.91,2014-12-15
2013-01-17,4889.0,5.88,2014-12-15
2013-01-18,5044.0,5.36,2014-12-15
2013-01-21,2656.0,5.19,2014-12-15
2013-01-22,4645.0,5.7,2014-12-15
2013-01-23,3632.0,4.87,2014-12-15
2013-01-24,5723.0,4.54,2014-12-15
2013-01-25,5323.0,4.31,2014-12-15
2013-01-28,1830.0,4.39,2014-12-15
2013-01-29,6032.0,4.2,2014-12-15
2013-01-30,3747.0,4.0,2014-12-15
2013-01-31,6278.0,3.61,2014-12-15
2013-02-01,2473.0,4.55,2014-12-15
2013-02-04,4528.0,4.54,2014-12-15
2013-02-05,5606.0,4.65,2014-12-15
2013-02-06,6431.0,4.39,2014-12-15
2013-02-07,6724.0,4.42,2014-12-15
2013-02-08,6008.0,4.78,2014-12-15
2013-02-11,1549.0,4.7,2014-12-15
2013-02-12,6717.0,4.81,2014-12-15
2013-02-13,6783.0,5.49,2014-12-15
2013-02-14,1427.0,5.5,2014-12-15
2013-02-15,2728.0,5.44,2014-12-15
2013-02-18,3468.0,5.37,2014-12-15
2013-02-19,5215.0,4.91,2014-12-15
2013-02-20,2794.0,5.23,2014-12-15
2013-02-21,3716.0,5.55,2014-12-15
2013-02-22,4085.0,5.43,2014-12-15
2013-02-25,3521.0,4.78,2014-12-15
2013-02-26,1630.0,4.5,2014-12-15
2013-02-27,1277.0,4.69,2014-12-15
2013-02-28,2247.0,5.13,2014-12-15
2013-03-01,9215.0,4.89,2014-12-15
2013-03-04,1687.0,4.85,2014-12-15
2013-03-05,3908.0,4.43,2014-12-15
2013-03-06,2323.0,4.48,2014-12-15
2013-03-07,2515.0,4.52,2014-12-15
2013-03-08,2786.0,4.46,2014-12-15
2013-03-11,4784.0,4.15,2014-12-15
2013-03-12,2836.0,3.91,2014-12-15
2013-03-13,3957.0,3.68,2014-12-15
2013-03-14,1529.0,3.87,2014-12-15
2013-03-15,5948.0,3.96,2014-12-15
2013-03-18,1261.0,3.71,2014-12-15
2013-03-19,1844.0,3.67,2014-12-15
2013-03-20,10136.0,4.14,2014-12-15
