Date,Front,Next
2013-01-02,499983.0,193434.0
2013-01-03,499835.0,194099.0
2013-01-04,500285.0,194206.0
2013-01-07,500932.0,194987.0
2013-01-08,499116.0,196732.0
2013-01-09,499382.0,197291.0
2013-01-10,503459.0,197686.0
2013-01-11,502296.0,198388.0
2013-01-14,499687.0,199508.0
2013-01-15,499193.0,200114.0
2013-01-16,498670.0,201091.0
2013-01-17,493607.0,199157.0
2013-01-18,491153.0,201155.0
2013-01-21,493667.0,201692.0
2013-01-22,494081.0,202974.0
2013-01-23,496949.0,203900.0
2013-01-24,500729.0,204653.0
2013-01-25,507810.0,205218.0
2013-01-28,510792.0,205176.0
2013-01-29,517221.0,206486.0
2013-01-30,515832.0,207775.0
2013-01-31,518827.0,209463.0
2013-02-01,521740.0,210473.0
2013-02-04,522425.0,210915.0
2013-02-05,523322.0,212375.0
2013-02-06,528304.0,212850.0
2013-02-07,526246.0,213158.0
2013-02-08,524441.0,213146.0
2013-02-11,524907.0,213441.0
2013-02-12,527854.0,213419.0
2013-02-13,526226.0,214958.0
2013-02-14,527028.0,215393.0
2013-02-15,524711.0,216163.0
2013-02-18,526169.0,216119.0
2013-02-19,526169.0,216119.0
2013-02-20,529274.0,219200.0
2013-02-21,531319.0,218997.0
2013-02-22,532107.0,219442.0
2013-02-25,536412.0,221368.0
2013-02-26,538775.0,222769.0
2013-02-27,539618.0,223224.0
2013-02-28,538841.0,223783.0
2013-03-01,540123.0,229915.0
2013-03-04,539920.0,229867.0
2013-03-05,541373.0,231710.0
2013-03-06,545839.0,232372.0
2013-03-07,546420.0,233184.0
2013-03-08,547831.0,233313.0
2013-03-11,552083.0,233079.0
2013-03-12,553212.0,234055.0
2013-03-13,551616.0,234958.0
2013-03-14,549933.0,235837.0
2013-03-15,562457.0,239901.0
2013-03-18,566294.0,240580.0
2013-03-19,566824.0,241667.0
2013-03-20,566967.0,239335.0
2013-03-21,567049.0,240303.0
2013-03-22,570057.0,241594.0
2013-03-25,572267.0,243329.0
2013-03-26,575371.0,244492.0
2013-03-27,574644.0,245675.0
2013-03-28,577363.0,246316.0
2013-04-02,578293.0,246580.0
2013-04-03,578772.0,246765.0
2013-04-04,580694.0,247347.0
2013-04-05,581701.0,247538.0
2013-04-08,582252.0,247447.0
2013-04-09,579398.0,248860.0
2013-04-10,580392.0,248323.0
2013-04-11,581707.0,248899.0
2013-04-12,582165.0,250523.0
2013-04-15,582759.0,251228.0
2013-04-16,611166.0,253257.0
2013-04-17,613230.0,256644.0
2013-04-18,612180.0,257021.0
2013-04-19,615587.0,257687.0
2013-04-22,617652.0,258350.0
2013-04-23,614450.0,261836.0
2013-04-24,613089.0,264268.0
2013-04-25,612809.0,268558.0
2013-04-26,612172.0,269057.0
2013-04-29,613680.0,269939.0
2013-04-30,614017.0,270322.0
2013-05-01,616617.0,270552.0
2013-05-02,615433.0,270094.0
2013-05-03,615304.0,270483.0
2013-05-06,614949.0,270638.0
2013-05-07,614529.0,271304.0
2013-05-08,612906.0,272709.0
2013-05-09,614919.0,272969.0
2013-05-10,614221.0,273385.0
2013-05-13,611832.0,274971.0
2013-05-14,611700.0,275386.0
2013-05-15,612245.0,275802.0
2013-05-16,611523.0,276784.0
2013-05-17,611452.0,277238.0
2013-05-20,611743.0,277867.0
2013-05-21,612300.0,278311.0
2013-05-22,616933.0,280128.0
2013-05-23,616950.0,281837.0
2013-05-24,619733.0,283388.0
2013-05-27,620626.0,283469.0
2013-05-28,622120.0,283700.0
2013-05-29,620031.0,284129.0
2013-05-30,618963.0,285624.0
2013-05-31,619678.0,288033.0
2013-06-03,618980.0,288148.0
2013-06-04,620448.0,288926.0
2013-06-05,620989.0,290392.0
2013-06-06,622144.0,293628.0
2013-06-07,621224.0,295834.0
2013-06-10,618405.0,298092.0
2013-06-11,617763.0,298645.0
2013-06-12,616851.0,301016.0
2013-06-13,615149.0,304185.0
2013-06-14,610176.0,313853.0
2013-06-17,606777.0,315918.0
2013-06-18,595276.0,315753.0
2013-06-19,585261.0,316653.0
2013-06-20,578705.0,317974.0
2013-06-21,580177.0,317947.0
2013-06-24,585926.0,320021.0
2013-06-25,576553.0,321500.0
2013-06-26,575190.0,321798.0
2013-06-27,575560.0,324113.0
2013-06-28,575276.0,324370.0
2013-07-01,574094.0,324883.0
2013-07-02,574349.0,325572.0
2013-07-03,561930.0,325215.0
2013-07-04,563114.0,324916.0
2013-07-05,563480.0,325436.0
2013-07-08,563902.0,325789.0
2013-07-09,565597.0,325804.0
2013-07-10,566368.0,325584.0
2013-07-11,565539.0,325606.0
2013-07-12,566294.0,325818.0
2013-07-15,567499.0,326376.0
2013-07-16,569618.0,331784.0
2013-07-17,570172.0,332206.0
2013-07-18,569852.0,332593.0
2013-07-19,570769.0,332884.0
2013-07-22,570047.0,332935.0
2013-07-23,569266.0,333476.0
2013-07-24,581824.0,334927.0
2013-07-25,582373.0,335733.0
2013-07-26,581150.0,337315.0
2013-07-29,583776.0,337899.0
2013-07-30,584631.0,338879.0
2013-07-31,584091.0,340182.0
2013-08-01,584012.0,340943.0
2013-08-02,583318.0,341307.0
2013-08-05,583701.0,341565.0
2013-08-06,584204.0,342346.0
2013-08-07,588081.0,342811.0
2013-08-08,591322.0,343368.0
2013-08-09,591326.0,344894.0
2013-08-12,587719.0,347513.0
2013-08-13,583660.0,350961.0
2013-08-14,583929.0,350784.0
2013-08-15,578969.0,352479.0
2013-08-16,577960.0,353759.0
2013-08-19,576673.0,354495.0
2013-08-20,576800.0,355265.0
2013-08-21,578788.0,356342.0
2013-08-22,580094.0,357523.0
2013-08-23,580072.0,357959.0
2013-08-26,579682.0,358596.0
2013-08-27,578741.0,360284.0
2013-08-28,577800.0,362717.0
2013-08-29,576606.0,362773.0
2013-08-30,577086.0,363842.0
