Row,0.1,0.2,0.3,0.4,0.6,0.7,0.8,0.9
(Intercept),0*,0**,0***,0**,0,0,0,0
Delta\_C\_lag1,-0.11**,-0.04,-0.02,-0.02,-0.02**,-0.02***,-0.03***,-0.06***
Delta\_C\_lag2,-0.1**,-0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-0.06***
Delta\_C\_lag3,-0.02,-0.02***,-0.01,-0.01,-0.02,-0.02***,-0.03***,-0.04***
Delta\_Z,0.1,0.08*,0.05*,0.04,0.04,0.07*,0.12***,0.15
Delta\_r,0.57,-0.59***,-0.8***,-0.86***,-0.9***,-0.91***,-1.11***,-1.11**
ect\_lag1,-0.07***,-0.03***,-0.02***,-0.01***,0*,0.01***,0.01***,0
WTI,0,0,0**,0,0*,0*,0**,0**
SPX,0,0,0,0,0,0,0,0
VIX,0,0**,0**,0,0*,0,0**,0
Volatility,-0.02***,-0.01***,-0.01***,0***,0,0***,0.01***,0.03***
