Row,Model I,Model II,Model III,Model IV,Model V,Model VI
Delta\_C\_lag1,-0.41***,-0.40***,-0.20***,-0.35***,-0.18***,-0.41***
Delta\_C\_lag2,-0.33***,-0.32***,-0.32***,-0.33***,-0.28***,-0.33***
Delta\_C\_lag3,-0.11***,-0.11***,-0.16***,-0.16***,-0.16***,-0.11***
Delta\_Z,0.40***,0.33***,0.68***,0.42***,0.63***,0.40***
Delta\_r,0.14,-0.01,0.65,0.20,0.80,0.14
ect\_lag1,-0.04***,-0.04***,-0.11***,-0.04***,-0.13***,-0.04***
WTI,-0.00,-0.00,-0.00,-0.00,-0.00*,-0.00
SPX,0.00,0.00,0.00,0.00,0.00,0.00
VIX,-0.00,-0.00,-0.00*,-0.00,-0.00**,-0.00
Volatility,0.00,0.01,0.07,0.02,0.07,0.01
(Intercept),0.00,0.00,0.00,0.00,0.00,0.00
Obs,1993,2463,1993,1993,1993,1993
BIC,-19171,-24139,-17026,-19164,-16743,-19171
AIC,-19233,-24203,-17088,-19225,-16805,-19233
